id,item_id,listing_id,title,brand,category,price,price_text,original_price,original_price_text,discount_percent,discount_amount,discount_text,rating,rating_count,review_count,rating_breakdown,specifications,key_specs,warranty_summary,availability_status,is_available,buyability_intent,is_flipkart_advantage,swatch_available,currency,analytics_category,analytics_sub_category,market_place,image_url,url,fetched_at
DLLGQAQYNT39ZJTG,itm3bc65ea11d81b,LSTDLLGQAQYNT39ZJTGWF2CZS,Canon R100 Mirrorless Camera RF-S 18-45mm f/4.5-6.3 IS STM,Canon,MirrorLess,42990,₹42990,64995,₹64995,33,22005,33% off,4.4,2006.0,173.0,"{'1': 98, '2': 29, '3': 97, '4': 440, '5': 1342}","{'subtitle': 'Black', 'category': 'MirrorLess', 'analytics_category': 'Camera', 'analytics_sub_category': 'Camera'}",,,IN_STOCK,True,POSITIVE,True,True,INR,Camera,Camera,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/dslr-camera/b/g/s/-original-imahhy8yhhb4chb6.jpeg?q=75,https://www.flipkart.com/canon-r100-mirrorless-camera-rf-s-18-45mm-f-4-5-6-3-stm/p/itm3bc65ea11d81b?pid=DLLGQAQYNT39ZJTG&lid=LSTDLLGQAQYNT39ZJTGWF2CZS&marketplace=FLIPKART&q=cameras&store=jek,2026-06-11T08:57:56.775Z
SAYH5Q2H3DHCZBW4,itm1afd0c94e56bd,LSTSAYH5Q2H3DHCZBW4DPOP7J,Cubonic Waterproof 6K WiFi Dual Display |25FPS| EIS 2.0 Anti-Shake | Chipset-Sensor|Touch Screen Sports and Action Camera,Cubonic,SportsAndAction,7998,₹7998,12999,₹12999,38,5001,38% off,3.6,55.0,7.0,"{'1': 11, '2': 4, '3': 6, '4': 11, '5': 23}","{'subtitle': 'Black, 48 MP', 'category': 'SportsAndAction', 'analytics_category': 'Camera', 'analytics_sub_category': 'Camera'}",,,IN_STOCK,True,POSITIVE,False,True,INR,Camera,Camera,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/sports-action-camera/7/d/h/6k-wifi-dual-display-25fps-eis-2-0-anti-shake-chipset-sensor-original-imahnwrgqbmmuvhf.jpeg?q=75,https://www.flipkart.com/cubonic-waterproof-6k-wifi-dual-display-25fps-eis-2-0-anti-shake-chipset-sensor-touch-screen-sports-action-camera/p/itm1afd0c94e56bd?pid=SAYH5Q2H3DHCZBW4&lid=LSTSAYH5Q2H3DHCZBW4DPOP7J&marketplace=FLIPKART&q=cameras&store=jek,2026-06-11T08:57:56.775Z
DLLHBG2MC6C4GSZS,itmcf209cfd1dab3,LSTDLLHBG2MC6C4GSZSGV8HKG,Canon EOS R50 V Mirrorless Camera Body withRF-S14-30mm F4-6.3IS STMPZ Lens,Canon,MirrorLess,68990,₹68990,79995,₹79995,13,11005,13% off,4.7,55.0,7.0,"{'1': 1, '2': 1, '3': 0, '4': 11, '5': 42}","{'subtitle': 'Black', 'category': 'MirrorLess', 'analytics_category': 'Camera', 'analytics_sub_category': 'Camera'}",,,IN_STOCK,True,POSITIVE,True,True,INR,Camera,Camera,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/dslr-camera/j/u/p/-original-imahbymfhgutf4dn.jpeg?q=75,https://www.flipkart.com/canon-eos-r50-v-mirrorless-camera-body-withrf-s14-30mm-f4-6-3is-stmpz-lens/p/itmcf209cfd1dab3?pid=DLLHBG2MC6C4GSZS&lid=LSTDLLHBG2MC6C4GSZSGV8HKG&marketplace=FLIPKART&q=cameras&store=jek,2026-06-11T08:57:56.775Z
SAYHGS46EFSJNYCE,itm7c5ac388dab0d,LSTSAYHGS46EFSJNYCE37MNEU,NanoCam MINI MAGNET WIFI CAMERA 1080 P WITH WALL MOUNT STAND Sports and Action Camera,NanoCam,SportsAndAction,742,₹742,2999,₹2999,75,2257,75% off,3.3,4.0,,"{'1': 1, '2': 0, '3': 1, '4': 1, '5': 1}","{'subtitle': 'Black, 4 MP', 'category': 'SportsAndAction', 'analytics_category': 'Camera', 'analytics_sub_category': 'Camera'}",,,IN_STOCK,True,POSITIVE,False,True,INR,Camera,Camera,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/home-security-camera/r/k/y/1-spy011-indoor-outdoor-security-camera-prizor-original-imahg8ydtewp6vf2.jpeg?q=75,https://www.flipkart.com/nanocam-mini-magnet-wifi-camera-1080-p-wall-mount-stand-sports-action/p/itm7c5ac388dab0d?pid=SAYHGS46EFSJNYCE&lid=LSTSAYHGS46EFSJNYCE37MNEU&marketplace=FLIPKART&q=cameras&store=jek,2026-06-11T08:57:56.775Z
SAYHH7M22K984KRN,itm34ec9463b2ef0,LSTSAYHH7M22K984KRNNYPDYQ,"SScrematic 2.0 Kids Digital Camera with 2.0"" Color Display | Video Recording, USB Charging Sports and Action Camera",SScrematic,SportsAndAction,478,₹478,1599,₹1599,70,1121,70% off,3.7,188.0,10.0,"{'1': 36, '2': 15, '3': 18, '4': 23, '5': 96}","{'subtitle': 'Blue, 12 MP', 'category': 'SportsAndAction', 'analytics_category': 'Camera', 'analytics_sub_category': 'Camera'}",,,IN_STOCK,True,POSITIVE,False,True,INR,Camera,Camera,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/sports-action-camera/8/l/c/kids-digital-camera-with-2-0-color-display-video-recording-usb-original-imahhhfvdnzzgzbf.jpeg?q=75,https://www.flipkart.com/sscrematic-2-0-kids-digital-camera-2-0-color-display-video-recording-usb-charging-sports-action/p/itm34ec9463b2ef0?pid=SAYHH7M22K984KRN&lid=LSTSAYHH7M22K984KRNNYPDYQ&marketplace=FLIPKART&q=cameras&store=jek,2026-06-11T08:57:56.775Z
SAYFYWGFWUKPHHYC,itm13d6c6671d445,LSTSAYFYWGFWUKPHHYCLEXOWT,Supreno 4k action camera 4k action camera Sports and Action Camera,Supreno,SportsAndAction,1998,₹1998,2499,₹2499,20,501,20% off,3.5,760.0,199.0,"{'1': 219, '2': 49, '3': 38, '4': 58, '5': 396}","{'subtitle': 'Black, 1080 MP', 'category': 'SportsAndAction', 'analytics_category': 'Camera', 'analytics_sub_category': 'Camera'}",,,IN_STOCK,True,POSITIVE,True,True,INR,Camera,Camera,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/sports-action-camera/v/j/e/4k-action-camera-4k-action-camera-2-1080-2in1-action-camera-original-imahmkzu7fh67j6h.jpeg?q=75,https://www.flipkart.com/supreno-4k-action-camera-sports/p/itm13d6c6671d445?pid=SAYFYWGFWUKPHHYC&lid=LSTSAYFYWGFWUKPHHYCLEXOWT&marketplace=FLIPKART&q=cameras&store=jek,2026-06-11T08:57:56.775Z
SAYHCN9PHZKBXACW,itmb6ffaa98829d4,LSTSAYHCN9PHZKBXACWLZPCCL,Uphaar by OMG 2025 Kid's Digital Camera & Mini Video Camcorder Sports and Action Camera,Uphaar,SportsAndAction,463,₹463,1499,₹1499,69,1036,69% off,3.7,152.0,4.0,"{'1': 30, '2': 10, '3': 10, '4': 22, '5': 80}","{'subtitle': 'Multicolor, 20 MP', 'category': 'SportsAndAction', 'analytics_category': 'Camera', 'analytics_sub_category': 'Camera'}",,,IN_STOCK,True,POSITIVE,False,True,INR,Camera,Camera,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/sports-action-camera/8/r/4/kid-s-digital-camera-mini-video-camcorder-2025-2-20-uph-65-original-imahj7xpsagvdfcy.jpeg?q=75,https://www.flipkart.com/uphaar-omg-2025-kid-s-digital-camera-mini-video-camcorder-sports-action/p/itmb6ffaa98829d4?pid=SAYHCN9PHZKBXACW&lid=LSTSAYHCN9PHZKBXACWLZPCCL&marketplace=FLIPKART&q=cameras&store=jek,2026-06-11T08:57:56.775Z
DNEHKMRNRG3PQECZ,itm9c968a2feb2b8,LSTDNEHKMRNRG3PQECZR3BUGJ,"Divine creation GT50 Pro Foldable 4K GPS Smart Drone with HD Camera,Optical Flow Positioning J23 Drone",Divine creation,Drone,12498,₹12498,16999,₹16999,26,4501,26% off,3.1,19.0,,"{'1': 6, '2': 4, '3': 0, '4': 1, '5': 8}","{'brand': 'Divine creation', 'category': 'Drone', 'analytics_category': 'Toy', 'analytics_sub_category': 'RemoteControlToy'}",,,IN_STOCK,True,POSITIVE,False,False,INR,Toy,RemoteControlToy,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/drone/d/g/j/35-100-2-gt50-pro-foldable-4k-gps-smart-drone-with-hd-camera-original-imahkmphuhczggzn.jpeg?q=75,https://www.flipkart.com/divine-creation-gt50-pro-foldable-4k-gps-smart-drone-hd-camera-optical-flow-positioning-j23/p/itm9c968a2feb2b8?pid=DNEHKMRNRG3PQECZ&lid=LSTDNEHKMRNRG3PQECZR3BUGJ&marketplace=FLIPKART&q=cameras&store=jek,2026-06-11T08:57:56.775Z
SAYHEHYWCYGM6AZH,itmf5e7e67215b80,LSTSAYHEHYWCYGM6AZHK84FPY,"Vinni 2025 Kids Digital Camera, 6+ Years, Photo & Video Recorder, Full HD 1080P, Portable Sports and Action Camera",Vinni,SportsAndAction,470,₹470,2499,₹2499,81,2029,81% off,3.8,47.0,7.0,"{'1': 9, '2': 2, '3': 4, '4': 8, '5': 24}","{'subtitle': 'Multicolor, 16 MP', 'category': 'SportsAndAction', 'analytics_category': 'Camera', 'analytics_sub_category': 'Camera'}",,,IN_STOCK,True,POSITIVE,True,True,INR,Camera,Camera,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/role-play-toy/q/b/v/smart-kids-selfie-camera-birthday-gifts-for-hd-digital-video-original-imahfk6yckubqnz2.jpeg?q=75,https://www.flipkart.com/vinni-2025-kids-digital-camera-6-years-photo-video-recorder-full-hd-1080p-portable-sports-action-camera/p/itmf5e7e67215b80?pid=SAYHEHYWCYGM6AZH&lid=LSTSAYHEHYWCYGM6AZHK84FPY&marketplace=FLIPKART&q=cameras&store=jek,2026-06-11T08:57:56.776Z
DNEHGDXNGHJZWF98,itmd2ba777c8d6ee,LSTDNEHGDXNGHJZWF98OLFS7L,VYNEX M ONE Drone (Black)|Dual Battery Pack|GPS Navigation|4K UHD Camera+1080P| Drone,VYNEX,Drone,2078,₹2078,14999,₹14999,86,12921,86% off,2.9,547.0,23.0,"{'1': 206, '2': 64, '3': 48, '4': 25, '5': 204}","{'brand': 'VYNEX', 'category': 'Drone', 'analytics_category': 'Toy', 'analytics_sub_category': 'RemoteControlToy'}",,,IN_STOCK,True,POSITIVE,False,False,INR,Toy,RemoteControlToy,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/drone/a/l/j/30-0-0-m-one-drone-black-dual-battery-pack-gps-navigation-4k-uhd-original-imahk85tg7bynz67.jpeg?q=75,https://www.flipkart.com/vynex-m-one-drone-black-dual-battery-pack-gps-navigation-4k-uhd-camera-1080p/p/itmd2ba777c8d6ee?pid=DNEHGDXNGHJZWF98&lid=LSTDNEHGDXNGHJZWF98OLFS7L&marketplace=FLIPKART&q=cameras&store=jek&spotlightTagId=default_BestsellerId_jek,2026-06-11T08:57:56.776Z
