id,item_id,listing_id,title,brand,category,price,price_text,original_price,original_price_text,discount_percent,discount_amount,discount_text,rating,rating_count,review_count,rating_breakdown,specifications,key_specs,warranty_summary,availability_status,is_available,buyability_intent,is_flipkart_advantage,swatch_available,currency,analytics_category,analytics_sub_category,market_place,image_url,url,fetched_at
MONH3VBQMXCYT5SQ,ITM9E337ADE78A95,LSTMONH3VBQMXCYT5SQF9NE5M,Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),Frontech,DesktopMonitor,2818,₹2818,8000,₹8000,64,5182,64% off,3.9,5586,490,"{'1': 671, '2': 255, '3': 588, '4': 1241, '5': 2831}","{'subtitle': 'Adaptive Sync, Response Time: 3 ms, 60 Hz Refresh Rate', 'category': 'DesktopMonitor', 'analytics_category': 'ComputerPeripheral', 'analytics_sub_category': 'ComputerPeripheral', 'Panel Type': 'VA Panel', 'Screen Resolution Type': 'HD', 'Brightness': '250 nits', 'Response Time': '3 ms | Refresh Rate: 60 Hz'}","['Panel Type: VA Panel', 'Screen Resolution Type: HD', 'HDMI', 'Brightness: 250 nits', 'Response Time: 3 ms | Refresh Rate: 60 Hz', 'HDMI Ports - 1']",1 Year Warranty,IN_STOCK,True,POSITIVE,False,True,INR,ComputerPeripheral,ComputerPeripheral,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/monitor/h/x/i/mon-0074-hd-20-2024-mon-0074-20-inch-frontech-original-imahkthgrzmxjdgg.jpeg?q=75,https://www.flipkart.com/frontech-50-8-cm-20-inch-hd-led-backlit-va-panel-monitor-mon-0074/p/itm9e337ade78a95?pid=MONH3VBQMXCYT5SQ&lid=LSTMONH3VBQMXCYT5SQF9NE5M&marketplace=FLIPKART&q=computer+monitors&store=6bo%2Fg0i%2Funb%2Fpp8,2026-06-11T08:57:25.515Z
MONHGMTEAGFZCVCW,ITMB8CC43C8D40D3,LSTMONHGMTEAGFZCVCWETMSCV,MarQ by Flipkart 60.96 cm (24 inch) Full HD IPS Panel Monitor (24FHDMEQPUUB),MarQ by Flipkart,DesktopMonitor,5699,₹5699,16999,₹16999,66,11300,66% off,4.5,22,2,"{'1': 1, '2': 0, '3': 2, '4': 3, '5': 16}","{'subtitle': 'Response Time: 1 ms, 120 Hz Refresh Rate', 'category': 'DesktopMonitor', 'analytics_category': 'ComputerPeripheral', 'analytics_sub_category': 'ComputerPeripheral', 'Panel Type': 'IPS Panel', 'Screen Resolution Type': 'Full HD', 'Response Time': '1 ms | Refresh Rate: 100 Hz'}","['Panel Type: IPS Panel', 'Screen Resolution Type: Full HD', 'Response Time: 1 ms | Refresh Rate: 100 Hz']",1 Year Domestic Warranty On Product,IN_STOCK,True,POSITIVE,True,True,INR,ComputerPeripheral,ComputerPeripheral,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/monitor/m/1/j/-original-imahmjkfh24q3ych.jpeg?q=75,https://www.flipkart.com/marq-flipkart-60-96-cm-24-inch-full-hd-ips-panel-monitor-24fhdmeqpuub/p/itmb8cc43c8d40d3?pid=MONHGMTEAGFZCVCW&lid=LSTMONHGMTEAGFZCVCWETMSCV&marketplace=FLIPKART&q=computer+monitors&store=6bo%2Fg0i%2Funb%2Fpp8,2026-06-11T08:57:25.515Z
MONGQTEJZA4CEZPP,ITMAF882539BE36E,LSTMONGQTEJZA4CEZPPYC4MNA,MarQ by Flipkart 60.96 cm (24 inch) Full HD IPS Panel Inbuilt Speakers Monitor (24FHDMEQNNXO),MarQ by Flipkart,DesktopMonitor,5049,₹5049,17200,₹17200,70,12151,70% off,4.3,12858,1848,"{'1': 916, '2': 243, '3': 795, '4': 2763, '5': 8141}","{'subtitle': 'Adaptive Sync, Response Time: 1 ms, 100 Hz Refresh Rate', 'category': 'DesktopMonitor', 'analytics_category': 'ComputerPeripheral', 'analytics_sub_category': 'ComputerPeripheral', 'Panel Type': 'IPS Panel', 'Screen Resolution Type': 'Full HD', 'Brightness': '300 Nits', 'Response Time': '1 ms | Refresh Rate: 100 Hz'}","['Panel Type: IPS Panel', 'Screen Resolution Type: Full HD', 'Brightness: 300 Nits', 'Response Time: 1 ms | Refresh Rate: 100 Hz']",1 Year Warranty,IN_STOCK,True,POSITIVE,True,True,INR,ComputerPeripheral,ComputerPeripheral,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/monitor/j/q/e/-original-imagtdphdh2jcfqy.jpeg?q=75,https://www.flipkart.com/marq-flipkart-60-96-cm-24-inch-full-hd-ips-panel-inbuilt-speakers-monitor-24fhdmeqnnxo/p/itmaf882539be36e?pid=MONGQTEJZA4CEZPP&lid=LSTMONGQTEJZA4CEZPPYC4MNA&marketplace=FLIPKART&q=computer+monitors&store=6bo%2Fg0i%2Funb%2Fpp8&spotlightTagId=default_BestsellerId_6bo%2Fg0i%2Funb%2Fpp8,2026-06-11T08:57:25.515Z
MONHA5YGJCHGMQHW,ITM9BFE63A9A8F6D,LSTMONHA5YGJCHGMQHW6V5STA,MarQ by Flipkart 55.88 cm (22 inch) Full HD LED Backlit VA Panel Monitor (22FHDMEQNNXO),MarQ by Flipkart,DesktopMonitor,3999,₹3999,10499,₹10499,61,6500,61% off,4.4,3227,404,"{'1': 162, '2': 63, '3': 213, '4': 737, '5': 2052}","{'subtitle': 'Adaptive Sync, Response Time: 1 ms, 100 Hz Refresh Rate', 'category': 'DesktopMonitor', 'analytics_category': 'ComputerPeripheral', 'analytics_sub_category': 'ComputerPeripheral', 'Panel Type': 'VA Panel', 'Screen Resolution Type': 'Full HD', 'Brightness': '300 nits', 'Response Time': '1 ms | Refresh Rate: 100 Hz'}","['Panel Type: VA Panel', 'Screen Resolution Type: Full HD', 'Brightness: 300 nits', 'Response Time: 1 ms | Refresh Rate: 100 Hz', 'HDMI Ports - 1']",1 Year Warranty on Product,IN_STOCK,True,POSITIVE,True,True,INR,ComputerPeripheral,ComputerPeripheral,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/monitor/w/o/x/-original-imahdt6yqymkzf95.jpeg?q=75,https://www.flipkart.com/marq-flipkart-55-88-cm-22-inch-full-hd-led-backlit-va-panel-monitor-22fhdmeqnnxo/p/itm9bfe63a9a8f6d?pid=MONHA5YGJCHGMQHW&lid=LSTMONHA5YGJCHGMQHW6V5STA&marketplace=FLIPKART&q=computer+monitors&store=6bo%2Fg0i%2Funb%2Fpp8&spotlightTagId=default_BestsellerId_6bo%2Fg0i%2Funb%2Fpp8,2026-06-11T08:57:25.515Z
MONH3WTZHZ8JETFY,ITM09752EA6B6A40,LSTMONH3WTZHZ8JETFYJC9U3X,Frontech Ultima Series DUAL PORTS HDMI & VGA 60.96 cm (24 inch) Curved Full HD LED Backlit VA Panel Monitor (MON-0080),Frontech,DesktopMonitor,7389,₹7389,17500,₹17500,57,10111,57% off,4.2,1383,136,"{'1': 127, '2': 42, '3': 92, '4': 257, '5': 865}","{'subtitle': 'Adaptive Sync, Response Time: 5 ms, 100 Hz Refresh Rate', 'category': 'DesktopMonitor', 'analytics_category': 'ComputerPeripheral', 'analytics_sub_category': 'ComputerPeripheral', 'Panel Type': 'VA Panel', 'Screen Resolution Type': 'Full HD', 'Brightness': '250 nits', 'Response Time': '5 ms | Refresh Rate: 100 Hz'}","['Panel Type: VA Panel', 'Screen Resolution Type: Full HD', 'HDMI', 'Brightness: 250 nits', 'Response Time: 5 ms | Refresh Rate: 100 Hz', 'HDMI Ports - 1']",3 Years Warranty,IN_STOCK,True,POSITIVE,False,True,INR,ComputerPeripheral,ComputerPeripheral,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/monitor/t/x/z/mon-0080-100-full-hd-va-panel-24-2024-mon-0080-frontech-original-imahnwgkpgjggfy3.jpeg?q=75,https://www.flipkart.com/frontech-ultima-series-dual-ports-hdmi-vga-60-96-cm-24-inch-curved-full-hd-led-backlit-va-panel-monitor-mon-0080/p/itm09752ea6b6a40?pid=MONH3WTZHZ8JETFY&lid=LSTMONH3WTZHZ8JETFYJC9U3X&marketplace=FLIPKART&q=computer+monitors&store=6bo%2Fg0i%2Funb%2Fpp8,2026-06-11T08:57:25.516Z
MONG6Z8GQEHKGZKF,ITMCD404240DD818,LSTMONG6Z8GQEHKGZKFNOT5TK,"ZEBRONICS 46.99 cm (19 inch) HD LED Backlit TN Panel HDMI, VGA Input, HD 1366 x 768, 16.7M Colors, Glossy Panel, Slim Design, Wall Mountable Monitor (ZEB-V19HD LED)",ZEBRONICS,DesktopMonitor,2499,₹2499,5199,₹5199,51,2700,51% off,3.9,10918,1094,"{'1': 1410, '2': 489, '3': 1131, '4': 2594, '5': 5294}","{'subtitle': 'Response Time: 8 ms, 60 Hz Refresh Rate', 'category': 'DesktopMonitor', 'analytics_category': 'ComputerPeripheral', 'analytics_sub_category': 'ComputerPeripheral', 'Panel Type': 'TN Panel', 'Screen Resolution Type': 'HD', 'Response Time': '8 ms | Refresh Rate: 60 Hz'}","['Panel Type: TN Panel', 'Screen Resolution Type: HD', 'Anti-Glare Screen', 'Response Time: 8 ms | Refresh Rate: 60 Hz']",1 year carry into service center,IN_STOCK,True,POSITIVE,True,True,INR,ComputerPeripheral,ComputerPeripheral,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/monitor/t/w/a/zeb-v19hd-led-hd-18-5-2021-zeb-v19hd-led-zebronics-original-imahhyfjvdggneaf.jpeg?q=75,https://www.flipkart.com/zebronics-46-99-cm-19-inch-hd-led-backlit-tn-panel-hdmi-vga-input-1366-x-768-16-7m-colors-glossy-panel-slim-design-wall-mountable-monitor-zeb-v19hd-led/p/itmcd404240dd818?pid=MONG6Z8GQEHKGZKF&lid=LSTMONG6Z8GQEHKGZKFNOT5TK&marketplace=FLIPKART&q=computer+monitors&store=6bo%2Fg0i%2Funb%2Fpp8,2026-06-11T08:57:25.516Z
MONGQTEJJQDWJNNC,ITM2BF4A30641FE6,LSTMONGQTEJJQDWJNNCAWZO02,MarQ by Flipkart 68.58 cm (27 inch) Full HD IPS Panel Inbuilt Speakers Monitor (27FHDMEQNNXO),MarQ by Flipkart,DesktopMonitor,6599,₹6599,19500,₹19500,66,12901,66% off,4.3,12858,1848,"{'1': 916, '2': 243, '3': 795, '4': 2763, '5': 8141}","{'subtitle': 'Adaptive Sync, Response Time: 1 ms, 100 Hz Refresh Rate', 'category': 'DesktopMonitor', 'analytics_category': 'ComputerPeripheral', 'analytics_sub_category': 'ComputerPeripheral', 'Panel Type': 'IPS Panel', 'Screen Resolution Type': 'Full HD', 'Brightness': '300 Nits', 'Response Time': '1 ms | Refresh Rate: 100 Hz'}","['Panel Type: IPS Panel', 'Screen Resolution Type: Full HD', 'Brightness: 300 Nits', 'Response Time: 1 ms | Refresh Rate: 100 Hz']",1 Year Warranty,IN_STOCK,True,POSITIVE,True,True,INR,ComputerPeripheral,ComputerPeripheral,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/monitor/d/i/m/-original-imagtdphhzehdhyb.jpeg?q=75,https://www.flipkart.com/marq-flipkart-68-58-cm-27-inch-full-hd-ips-panel-inbuilt-speakers-monitor-27fhdmeqnnxo/p/itm2bf4a30641fe6?pid=MONGQTEJJQDWJNNC&lid=LSTMONGQTEJJQDWJNNCAWZO02&marketplace=FLIPKART&q=computer+monitors&store=6bo%2Fg0i%2Funb%2Fpp8&spotlightTagId=default_FkPickId_6bo%2Fg0i%2Funb%2Fpp8,2026-06-11T08:57:25.516Z
MONHKGFQWD7RQWCK,ITM89A586ADE4D11,LSTMONHKGFQWD7RQWCK09QKAO,ZEBRONICS 50.8 cm (20 inch) HD+ TN Panel Monitor (ZEB-EV20),ZEBRONICS,DesktopMonitor,2699,₹2699,6999,₹6999,61,4300,61% off,3.9,38,3,"{'1': 5, '2': 1, '3': 3, '4': 11, '5': 18}","{'subtitle': 'Response Time: 5 ms, 60 Hz Refresh Rate', 'category': 'DesktopMonitor', 'analytics_category': 'ComputerPeripheral', 'analytics_sub_category': 'ComputerPeripheral', 'Panel Type': 'TN Panel', 'Screen Resolution Type': 'HD+', 'Brightness': '250 nits', 'Response Time': '5 ms | Refresh Rate: 60 Hz'}","['Panel Type: TN Panel', 'Screen Resolution Type: HD+', 'Brightness: 250 nits', 'Response Time: 5 ms | Refresh Rate: 60 Hz', 'HDMI Ports - 1']",1 Year Domestic Warranty,IN_STOCK,True,POSITIVE,True,True,INR,ComputerPeripheral,ComputerPeripheral,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/monitor/z/g/t/-original-imahmjpgsyvk3fws.jpeg?q=75,https://www.flipkart.com/zebronics-50-8-cm-20-inch-hd-tn-panel-monitor-zeb-ev20/p/itm89a586ade4d11?pid=MONHKGFQWD7RQWCK&lid=LSTMONHKGFQWD7RQWCK09QKAO&marketplace=FLIPKART&q=computer+monitors&store=6bo%2Fg0i%2Funb%2Fpp8,2026-06-11T08:57:25.516Z
MONGHQS4GZ3AWGBV,ITM30C75CF76BF18,LSTMONGHQS4GZ3AWGBVGQXMHF,"Acer 54.61 cm (22 inch) Full HD LED Backlit IPS Panel with sRGB 99%, ENERGY STAR Certified, VESA Supportive, VGA, HDMI, Ergonomic Stand, ZeroFrame Design Monitor (KA222Q)",Acer,DesktopMonitor,5299,₹5299,6999,₹6999,24,1700,24% off,4.3,11821,1283,"{'1': 760, '2': 233, '3': 731, '4': 2906, '5': 7191}","{'subtitle': 'AMD Free Sync, Response Time: 1 ms, 100 Hz Refresh Rate', 'category': 'DesktopMonitor', 'analytics_category': 'ComputerPeripheral', 'analytics_sub_category': 'ComputerPeripheral', 'Panel Type': 'IPS Panel', 'Screen Resolution Type': 'Full HD', 'Brightness': '250 nits', 'Response Time': '1 ms | Refresh Rate: 100 Hz'}","['Panel Type: IPS Panel', 'Screen Resolution Type: Full HD', 'Brightness: 250 nits', 'Response Time: 1 ms | Refresh Rate: 100 Hz']",3 Years Warranty,IN_STOCK,True,POSITIVE,True,True,INR,ComputerPeripheral,ComputerPeripheral,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/monitor/c/n/8/-original-imahf4rbgwtzquxh.jpeg?q=75,https://www.flipkart.com/acer-54-61-cm-22-inch-full-hd-led-backlit-ips-panel-srgb-99-energy-star-certified-vesa-supportive-vga-hdmi-ergonomic-stand-zeroframe-design-monitor-ka222q/p/itm30c75cf76bf18?pid=MONGHQS4GZ3AWGBV&lid=LSTMONGHQS4GZ3AWGBVGQXMHF&marketplace=FLIPKART&q=computer+monitors&store=6bo%2Fg0i%2Funb%2Fpp8,2026-06-11T08:57:25.516Z
MONGPGJZ4NZ6TYGH,ITM49E54028920BF,LSTMONGPGJZ4NZ6TYGH4MISLY,MarQ by Flipkart 81.28 cm (32 inch) Full HD LED Backlit IPS Panel Monitor (32FHDMMQNN2B),MarQ by Flipkart,DesktopMonitor,8999,₹8999,22999,₹22999,60,14000,60% off,4.3,9927,1609,"{'1': 682, '2': 200, '3': 653, '4': 2285, '5': 6107}","{'subtitle': 'Adaptive Sync, Response Time: 5 ms, 75 Hz Refresh Rate', 'category': 'DesktopMonitor', 'analytics_category': 'ComputerPeripheral', 'analytics_sub_category': 'ComputerPeripheral', 'Panel Type': 'IPS Panel', 'Screen Resolution Type': 'Full HD', 'Brightness': '280 nits', 'Response Time': '5 ms | Refresh Rate: 75 Hz'}","['Panel Type: IPS Panel', 'Screen Resolution Type: Full HD', 'Brightness: 280 nits', 'Response Time: 5 ms | Refresh Rate: 75 Hz']",1 Year Warranty,IN_STOCK,True,POSITIVE,True,True,INR,ComputerPeripheral,ComputerPeripheral,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/monitor/t/v/x/-original-imagspdtynnay9dr.jpeg?q=75,https://www.flipkart.com/marq-flipkart-81-28-cm-32-inch-full-hd-led-backlit-ips-panel-monitor-32fhdmmqnn2b/p/itm49e54028920bf?pid=MONGPGJZ4NZ6TYGH&lid=LSTMONGPGJZ4NZ6TYGH4MISLY&marketplace=FLIPKART&q=computer+monitors&store=6bo%2Fg0i%2Funb%2Fpp8,2026-06-11T08:57:25.516Z
