id,item_id,listing_id,title,brand,category,price,price_text,original_price,original_price_text,discount_percent,discount_amount,discount_text,rating,rating_count,review_count,rating_breakdown,specifications,key_specs,warranty_summary,availability_status,is_available,buyability_intent,is_flipkart_advantage,swatch_available,currency,analytics_category,analytics_sub_category,market_place,image_url,url,fetched_at
MOBHH69NGFZAYK6M,itm7da8aa253e72b,LSTMOBHH69NGFZAYK6MYQKNQD,"vivo T5x 5G (Cyber Green, 128 GB)",vivo,Handset,22999,₹22999,28999.0,₹28999,20,6000.0,20% off,4.4,9703,626,"{'1': 539, '2': 247, '3': 610, '4': 1902, '5': 6405}","{'subtitle': '6 GB RAM', 'brand': 'vivo', 'category': 'Handset', 'analytics_category': 'Mobile', 'analytics_sub_category': 'Handset'}","['6 GB RAM | 128 GB ROM', '17.17 cm (6.76 inch) Display', '50MP + 2MP | 32MP Front Camera', '7200 mAh Li-ion Battery', 'Dimensity 7400-Turbo Processor']",1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,IN_STOCK,True,POSITIVE,True,True,INR,Mobile,Handset,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/mobile/f/i/v/-original-imahhhfvqhmf7fgg.jpeg?q=75,https://www.flipkart.com/vivo-t5x-5g-cyber-green-128-gb/p/itm7da8aa253e72b?pid=MOBHH69NGFZAYK6M&lid=LSTMOBHH69NGFZAYK6MYQKNQD&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io,2026-06-11T08:56:55.539Z
MOBHMGG5PYZRFMKU,itm6b8cdd362c306,LSTMOBHMGG5PYZRFMKUCJZJZ4,"POCO C85x (Sunset Gold, 64 GB)",POCO,Handset,12999,₹12999,20999.0,₹20999,38,8000.0,38% off,4.2,2076,109,"{'1': 196, '2': 97, '3': 162, '4': 365, '5': 1256}","{'subtitle': '4 GB RAM', 'brand': 'POCO', 'category': 'Handset', 'analytics_category': 'Mobile', 'analytics_sub_category': 'Handset'}","['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '17.53 cm (6.9 inch) HD+ Display', '32MP Rear Camera', '6300 mAh Lithium-Ion Polymer Battery', 'T8300 Processor']",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,IN_STOCK,True,POSITIVE,True,True,INR,Mobile,Handset,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/mobile/a/g/l/-original-imahmqga4sxzfnzn.jpeg?q=75,https://www.flipkart.com/poco-c85x-sunset-gold-64-gb/p/itm6b8cdd362c306?pid=MOBHMGG5PYZRFMKU&lid=LSTMOBHMGG5PYZRFMKUCJZJZ4&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io,2026-06-11T08:56:55.540Z
MOBHHVFYGN57RYAH,itmf752f4981d932,LSTMOBHHVFYGN57RYAHB2DF12,"MOTOROLA g37 power (PANTONE Nautical Blue, 128 GB)",MOTOROLA,Handset,15999,₹15999,30499.0,₹30499,47,14500.0,47% off,4.0,209,19,"{'1': 26, '2': 11, '3': 14, '4': 43, '5': 115}","{'subtitle': '4 GB RAM', 'category': 'Handset', 'analytics_category': 'Mobile', 'analytics_sub_category': 'Handset'}","['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.92 cm (6.66 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '7000 mAh Battery', 'Dimensity 6400 Processor']",1 Year on Handset and 6 Months on Accessories,IN_STOCK,True,POSITIVE,True,True,INR,Mobile,Handset,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/mobile/w/g/r/-original-imahng2y4zgbb6ej.jpeg?q=75,https://www.flipkart.com/motorola-g37-power-pantone-nautical-blue-128-gb/p/itmf752f4981d932?pid=MOBHHVFYGN57RYAH&lid=LSTMOBHHVFYGN57RYAHB2DF12&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io,2026-06-11T08:56:55.541Z
MOBH9UYFYVNKR3HR,itmcafa42dadc15c,LSTMOBH9UYFYVNKR3HRDRLYWS,"Samsung M06 5G (Sage Green, 128 GB)",Samsung,Handset,12745,₹12745,15499.0,₹15499,17,2754.0,17% off,4.1,2463,153,"{'1': 241, '2': 96, '3': 227, '4': 613, '5': 1286}","{'subtitle': '4 GB RAM', 'brand': 'Samsung', 'category': 'Handset', 'analytics_category': 'Mobile', 'analytics_sub_category': 'Handset'}","['4 GB RAM | 128 GB ROM', '17.02 cm (6.7 inch) Display', '50MP Rear Camera', '5000 mAh Battery']",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,IN_STOCK,True,POSITIVE,True,True,INR,Mobile,Handset,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/mobile/n/t/g/-original-imaha58mcdsfygaq.jpeg?q=75,https://www.flipkart.com/samsung-m06-5g-sage-green-128-gb/p/itmcafa42dadc15c?pid=MOBH9UYFYVNKR3HR&lid=LSTMOBH9UYFYVNKR3HRDRLYWS&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io,2026-06-11T08:56:55.541Z
MOBHN973FFYHGUGG,itm29390fa68401d,LSTMOBHN973FFYHGUGG27JKDQ,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",MOTOROLA,Handset,12999,₹12999,19999.0,₹19999,35,7000.0,35% off,4.2,18147,1066,"{'1': 1292, '2': 577, '3': 1499, '4': 4157, '5': 10622}","{'subtitle': '4 GB RAM', 'category': 'Handset', 'analytics_category': 'Mobile', 'analytics_sub_category': 'Handset'}","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '7000 mAh Battery', 'Helio G81 Processor']",1 Year Warranty on Handset and 6 Months Warranty on Accessories,IN_STOCK,True,POSITIVE,True,True,INR,Mobile,Handset,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/mobile/q/n/a/-original-imahnfuypbu3zse3.jpeg?q=75,https://www.flipkart.com/motorola-g06-power-pantone-tapestry-64-gb/p/itm29390fa68401d?pid=MOBHN973FFYHGUGG&lid=LSTMOBHN973FFYHGUGG27JKDQ&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io,2026-06-11T08:56:55.541Z
MOBHKHPYQHGDVRTG,itmdc910ae2ff0c1,LSTMOBHKHPYQHGDVRTGHKLHJJ,"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,Handset,10499,₹10499,10999.0,₹10999,4,500.0,4% off,4.4,3387,170,"{'1': 185, '2': 102, '3': 261, '4': 592, '5': 2247}","{'subtitle': '4 GB RAM', 'brand': 'Ai+', 'category': 'Handset', 'analytics_category': 'Mobile', 'analytics_sub_category': 'Handset'}","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.13 cm (6.745 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '6000 mAh Battery', 'T7250 Processor']",1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,IN_STOCK,True,POSITIVE,True,True,INR,Mobile,Handset,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/mobile/7/g/a/-original-imahh27g4e28qac6.jpeg?q=75,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGHKLHJJ&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io,2026-06-11T08:56:55.541Z
MOBHMYWRWPE4S8G6,itmf2e3aacd5257e,LSTMOBHMYWRWPE4S8G6INAADH,"POCO C81x (Ice Blue, 64 GB)",POCO,Handset,10999,₹10999,18999.0,₹18999,42,8000.0,42% off,4.0,155,11,"{'1': 17, '2': 12, '3': 15, '4': 27, '5': 84}","{'subtitle': '3 GB RAM', 'brand': 'POCO', 'category': 'Handset', 'analytics_category': 'Mobile', 'analytics_sub_category': 'Handset'}","['3 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '17.48 cm (6.88 inch) Display', '13MP Rear Camera | 8MP Front Camera', '5200 mAh Lithium-Ion Polymer Battery', 'T7250 Processor']",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,IN_STOCK,True,POSITIVE,False,True,INR,Mobile,Handset,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/mobile/x/z/r/-original-imahmqbhwvnpc7e4.jpeg?q=75,https://www.flipkart.com/poco-c81x-ice-blue-64-gb/p/itmf2e3aacd5257e?pid=MOBHMYWRWPE4S8G6&lid=LSTMOBHMYWRWPE4S8G6INAADH&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io,2026-06-11T08:56:55.541Z
MOBHH69NM5ERRNFT,itm7da8aa253e72b,LSTMOBHH69NM5ERRNFTB1RHB5,"vivo T5x 5G (Cyber Green, 128 GB)",vivo,Handset,24999,₹24999,30999.0,₹30999,19,6000.0,19% off,4.4,11379,888,"{'1': 545, '2': 249, '3': 669, '4': 2414, '5': 7502}","{'subtitle': '8 GB RAM', 'brand': 'vivo', 'category': 'Handset', 'analytics_category': 'Mobile', 'analytics_sub_category': 'Handset'}","['8 GB RAM | 128 GB ROM', '17.17 cm (6.76 inch) Display', '50MP + 2MP | 32MP Front Camera', '7200 mAh Li-ion Battery', 'Dimensity 7400-Turbo Processor']",1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,IN_STOCK,True,POSITIVE,True,True,INR,Mobile,Handset,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/mobile/f/i/v/-original-imahhhfvqhmf7fgg.jpeg?q=75,https://www.flipkart.com/vivo-t5x-5g-cyber-green-128-gb/p/itm7da8aa253e72b?pid=MOBHH69NM5ERRNFT&lid=LSTMOBHH69NM5ERRNFTB1RHB5&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io,2026-06-11T08:56:55.541Z
MOBHKZF3YEJNPZHZ,itm188c7a4b69292,LSTMOBHKZF3YEJNPZHZKAKWY1,"OPPO K14x 5G (Icy Blue, 64 GB)",OPPO,Handset,14999,₹14999,19999.0,₹19999,25,5000.0,25% off,4.5,4710,1028,"{'1': 235, '2': 117, '3': 263, '4': 754, '5': 3341}","{'subtitle': '4 GB RAM', 'brand': 'OPPO', 'category': 'Handset', 'analytics_category': 'Mobile', 'analytics_sub_category': 'Handset'}","['4 GB RAM | 64 GB ROM', '17.14 cm (6.75 inch) HD+ Display', '50MP + 2MP | 5MP; f/2.2; FOV 77°; 3P lens', '6500 mAh Battery', 'Dimensity 6300 Processor']",1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,IN_STOCK,True,POSITIVE,True,True,INR,Mobile,Handset,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/mobile/q/l/7/-original-imahmkx5xdavr53c.jpeg?q=75,https://www.flipkart.com/oppo-k14x-5g-icy-blue-64-gb/p/itm188c7a4b69292?pid=MOBHKZF3YEJNPZHZ&lid=LSTMOBHKZF3YEJNPZHZKAKWY1&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io,2026-06-11T08:56:55.541Z
MOBHHWB6GWE2CKHU,itm40c0c7bcb21fc,LSTMOBHHWB6GWE2CKHUQEA6X8,"MOTOROLA g37 (PANTONE Impenetrable, 64 GB)",MOTOROLA,Handset,14999,₹14999,24999.0,₹24999,40,10000.0,40% off,4.3,193,11,"{'1': 15, '2': 6, '3': 9, '4': 39, '5': 124}","{'subtitle': '4 GB RAM', 'category': 'Handset', 'analytics_category': 'Mobile', 'analytics_sub_category': 'Handset'}","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.92 cm (6.66 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5200 mAh Battery', 'Dimensity 6400 Processor']",1 Year on Handset and 6 Months on Accessories,IN_STOCK,True,POSITIVE,True,True,INR,Mobile,Handset,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/mobile/y/e/a/-original-imahnfsxfgjfzd4v.jpeg?q=75,https://www.flipkart.com/motorola-g37-pantone-impenetrable-64-gb/p/itm40c0c7bcb21fc?pid=MOBHHWB6GWE2CKHU&lid=LSTMOBHHWB6GWE2CKHUQEA6X8&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io,2026-06-11T08:56:55.543Z
