id,item_id,listing_id,title,brand,category,price,price_text,original_price,original_price_text,discount_percent,discount_amount,discount_text,rating,rating_count,review_count,rating_breakdown,specifications,key_specs,warranty_summary,availability_status,is_available,buyability_intent,is_flipkart_advantage,swatch_available,currency,analytics_category,analytics_sub_category,market_place,image_url,url,fetched_at
TABHFGAS28RJEFXT,itmb316e230adb14,LSTTABHFGAS28RJEFXTQWIVEF,realme Pad 2 8 GB RAM 128 GB ROM 11.5 inch with 4G Gaming MediaTek G99 Tablet (Inspiration Green),realme,GamingTablet,19999,₹19999,29999.0,₹29999,33,10000.0,33% off,4.4,38509,2955,"{'1': 1678, '2': 646, '3': 1905, '4': 9143, '5': 25137}","{'category': 'GamingTablet', 'analytics_category': 'Tablet', 'analytics_sub_category': 'Tablet', 'Android 13 | Battery': '8360 mAh Lithium Ion', 'Ideal Usage': 'Entertainment, Reading and Browsing, Business', 'Processor': 'MediaTek G99'}","['90Hz 2K Eye Comfort Display', 'Mediatek Helio G99 Chipset', '8300mAh Mega Battery', 'Quad Stereo Speakers with OReality Audio | realme UI 5.0 for Pad', '8MP AI Camera', '4G Network Connectivity', 'Ultra Slim Design with a modern vegan leather look at the back', '8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '29.21 cm (11.5 inch) 2K Display', '8 MP Primary Camera | 5 MP Front', 'Android 13 | Battery: 8360 mAh Lithium Ion', 'Ideal Usage: Entertainment, Reading and Browsing, Business', 'Voice Call (Single Sim, 4G LTE TDD|4G LTE FDD|WCDMA|GSM)', 'Processor: MediaTek G99']",1 Year Domestic Warranty,IN_STOCK,True,POSITIVE,True,False,INR,Tablet,Tablet,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/tablet/5/3/l/rmp2204-realme-original-imagrhcqvxhqqcwf.jpeg?q=75,https://www.flipkart.com/realme-pad-2-8-gb-ram-128-rom-11-5-inch-4g-gaming-mediatek-g99-tablet-inspiration-green/p/itmb316e230adb14?pid=TABHFGAS28RJEFXT&lid=LSTTABHFGAS28RJEFXTQWIVEF&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry,2026-06-11T08:57:10.095Z
TABH2H7PMUXU4KSP,itm0ef682882fb16,LSTTABH2H7PMUXU4KSPGMINSC,Lenovo Legion 12 GB RAM 256 GB ROM 8.8 inch with Wi-Fi Only Gaming Qualcomm Snapdragon 8+ Gen 1 Tablet (Storm Grey),Lenovo,GamingTablet,20999,₹20999,65000.0,₹65000,67,44001.0,67% off,4.4,597,60,"{'1': 39, '2': 6, '3': 24, '4': 131, '5': 397}","{'category': 'GamingTablet', 'analytics_category': 'Tablet', 'analytics_sub_category': 'Tablet', 'Android 13 | Battery': '6550 mAh', 'Processor': 'Qualcomm Snapdragon 8+ Gen 1'}","['12 GB RAM | 256 GB ROM', '22.35 cm (8.8 inch) Display', '13 MP Primary Camera | 8 MP Front', 'Android 13 | Battery: 6550 mAh', 'Processor: Qualcomm Snapdragon 8+ Gen 1']",1 Year Warranty from Lenovo,IN_STOCK,True,POSITIVE,True,False,INR,Tablet,Tablet,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/tablet/d/w/m/-original-imah2sp24tznr5sh.jpeg?q=75,https://www.flipkart.com/lenovo-legion-12-gb-ram-256-rom-8-8-inch-wi-fi-only-gaming-qualcomm-snapdragon-8-gen-1-tablet-storm-grey/p/itm0ef682882fb16?pid=TABH2H7PMUXU4KSP&lid=LSTTABH2H7PMUXU4KSPGMINSC&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry,2026-06-11T08:57:10.095Z
TABHE7YR2Y7XJHFA,itm5b2d512cb261f,LSTTABHE7YR2Y7XJHFAUZXAAE,OnePlus Pad Lite 6 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only MediaTek Helio G100 Tablet (Aero Blue),OnePlus,TabletWithoutCallFacility,18999,₹18999,19999.0,₹19999,5,1000.0,5% off,4.5,6223,392,"{'1': 272, '2': 89, '3': 279, '4': 1429, '5': 4154}","{'category': 'TabletWithoutCallFacility', 'analytics_category': 'Tablet', 'analytics_sub_category': 'Tablet', 'Processor': 'MediaTek Helio G100', 'Others Oxygen OS 15.0.1 | Battery': '9340 mAh'}","['6.0 GB RAM | 128 GB ROM', '27.94 cm (11.0 inch) Display', '5 MP Primary Camera | 5 MP Front', 'Others Oxygen OS 15.0.1 | Battery: 9340 mAh', 'Processor: MediaTek Helio G100']",1 Year Manufacturer Warranty,IN_STOCK,True,POSITIVE,True,False,INR,Tablet,Tablet,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/tablet/p/b/f/-original-imahgwhmpffthqf9.jpeg?q=75,https://www.flipkart.com/oneplus-pad-lite-6-gb-ram-128-rom-11-0-inch-wi-fi-only-mediatek-helio-g100-tablet-aero-blue/p/itm5b2d512cb261f?pid=TABHE7YR2Y7XJHFA&lid=LSTTABHE7YR2Y7XJHFAUZXAAE&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry,2026-06-11T08:57:10.095Z
TABHFGAT4ZCAQTBG,itmb316e230adb14,LSTTABHFGAT4ZCAQTBGGRZQQT,realme Pad 2 8 GB RAM 128 GB ROM 11.5 inch with 4G Gaming MediaTek G99 Tablet (Imagination Grey),realme,GamingTablet,19999,₹19999,29999.0,₹29999,33,10000.0,33% off,4.4,38509,2955,"{'1': 1678, '2': 646, '3': 1905, '4': 9143, '5': 25137}","{'category': 'GamingTablet', 'analytics_category': 'Tablet', 'analytics_sub_category': 'Tablet', 'Android 13 | Battery': '8360 mAh Lithium Ion', 'Ideal Usage': 'Entertainment, Reading and Browsing, Business', 'Processor': 'MediaTek G99'}","['90Hz 2K Eye Comfort Display', 'Mediatek Helio G99 Chipset', '8300mAh Mega Battery', 'Quad Stereo Speakers with OReality Audio | realme UI 5.0 for Pad', '8MP AI Camera', '4G Network Connectivity', 'Ultra Slim Design with a modern vegan leather look at the back', '8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '29.21 cm (11.5 inch) 2K Display', '8 MP Primary Camera | 5 MP Front', 'Android 13 | Battery: 8360 mAh Lithium Ion', 'Ideal Usage: Entertainment, Reading and Browsing, Business', 'Voice Call (Single Sim, 4G LTE TDD|4G LTE FDD|WCDMA|GSM)', 'Processor: MediaTek G99']",1 Year Domestic Warranty,IN_STOCK,True,POSITIVE,True,False,INR,Tablet,Tablet,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/tablet/o/y/8/rmp2204-realme-original-imagrhcqdhdyc9tg.jpeg?q=75,https://www.flipkart.com/realme-pad-2-8-gb-ram-128-rom-11-5-inch-4g-gaming-mediatek-g99-tablet-imagination-grey/p/itmb316e230adb14?pid=TABHFGAT4ZCAQTBG&lid=LSTTABHFGAT4ZCAQTBGGRZQQT&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry,2026-06-11T08:57:10.095Z
TABGEGBWRYZ4YGWN,itm134fd0219f4c9,LSTTABGEGBWRYZ4YGWNPSOUGY,MOTOROLA Tab G62 4 GB RAM 64 GB ROM 10.61 inch with 4G Qualcomm Snapdragon SDM680 Tablet (Frost Blue),MOTOROLA,TabletWithCallFacility,10999,₹10999,34000.0,₹34000,67,23001.0,67% off,4.2,13565,1165,"{'1': 988, '2': 408, '3': 1125, '4': 3451, '5': 7593}","{'category': 'TabletWithCallFacility', 'analytics_category': 'Tablet', 'analytics_sub_category': 'Tablet', 'Android 12 | Battery': '7700 mAh', 'Ideal Usage': 'Entertainment, Gaming, Reading and Browsing, For Kids, Business', 'Processor': 'Qualcomm Snapdragon SDM680'}","['4 GB RAM | 64 GB ROM', '26.95 cm (10.61 inch) 2K Display', '8.0 MP Primary Camera | 8 MP Front', 'Android 12 | Battery: 7700 mAh', 'Ideal Usage: Entertainment, Gaming, Reading and Browsing, For Kids, Business', 'Voice Call (Single Sim, GSM, LTE, VoLTE)', 'Processor: Qualcomm Snapdragon SDM680']",1 Year Warranty on Tablet including Battery,IN_STOCK,True,POSITIVE,True,False,INR,Tablet,Tablet,FLIPKART,https://rukmini1.flixcart.com/image/832/832/l3uhvgw0/tablet/3/y/a/zabn0007in-motorola-original-imagevdg5b5sc84m.jpeg?q=75,https://www.flipkart.com/motorola-tab-g62-4-gb-ram-64-rom-10-61-inch-4g-qualcomm-snapdragon-sdm680-tablet-frost-blue/p/itm134fd0219f4c9?pid=TABGEGBWRYZ4YGWN&lid=LSTTABGEGBWRYZ4YGWNPSOUGY&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry,2026-06-11T08:57:10.095Z
TABHETUGU6T947RJ,itm4aa28823b0e61,LSTTABHETUGU6T947RJHGR8SL,MOTOROLA Pad 60 Neo 8 GB RAM 128 GB ROM 11 inch with Wi-Fi+5G MediaTek Dimensity 6300 Tablet (PANTONE Bronze Green),MOTOROLA,TabletWithCallFacility,27999,₹27999,28000.0,₹28000,0,1.0,0% off,4.5,15946,1206,"{'1': 455, '2': 190, '3': 808, '4': 3974, '5': 10519}","{'category': 'TabletWithCallFacility', 'analytics_category': 'Tablet', 'analytics_sub_category': 'Tablet', 'Android 15 | Battery': '7040 mAh', 'Ideal Usage': 'Art & Design, Business, Entertainment, High Processing Tasks, Reading and Browsing', 'Processor': 'MediaTek Dimensity 6300'}","['8.0 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '27.94 cm (11 inch) Display', '8 MP MP Primary Camera | 5 MP Front', 'Android 15 | Battery: 7040 mAh', 'Ideal Usage: Art & Design, Business, Entertainment, High Processing Tasks, Reading and Browsing', 'Voice Call (Single Sim)', 'Processor: MediaTek Dimensity 6300']",1 Year Comprehensive Warranty,IN_STOCK,True,POSITIVE,True,False,INR,Tablet,Tablet,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/tablet/2/3/h/-original-imahfsrkzrhehhyy.jpeg?q=75,https://www.flipkart.com/motorola-pad-60-neo-8-gb-ram-128-rom-11-inch-wi-fi-5g-mediatek-dimensity-6300-tablet-pantone-bronze-green/p/itm4aa28823b0e61?pid=TABHETUGU6T947RJ&lid=LSTTABHETUGU6T947RJHGR8SL&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry,2026-06-11T08:57:10.096Z
TABHYYS9NRJGRYWF,itma5509f73ddb92,LSTTABHYYS9NRJGRYWFZ9EWXP,REDMI  Pad SE 8 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Qualcomm Snapdragon 680 Tablet (Lavender Purple),REDMI,TabletWithoutCallFacility,13999,₹13999,19999.0,₹19999,30,6000.0,30% off,4.4,19531,1242,"{'1': 839, '2': 397, '3': 1137, '4': 4689, '5': 12469}","{'category': 'TabletWithoutCallFacility', 'analytics_category': 'Tablet', 'analytics_sub_category': 'Tablet', 'Android 13 | Battery': '8000 mAh Lithium Ion', 'Ideal Usage': 'Entertainment', 'Processor': 'Qualcomm Snapdragon 680'}","['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '27.94 cm (11.0 inch) Full HD Display', '8.0 MP Primary Camera | 5 MP Front', 'Android 13 | Battery: 8000 mAh Lithium Ion', 'Ideal Usage: Entertainment', 'Processor: Qualcomm Snapdragon 680']",1 Year Domestic Warranty,IN_STOCK,True,POSITIVE,True,False,INR,Tablet,Tablet,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/tablet/t/l/y/-original-imahfdyf6hghuvmn.jpeg?q=75,https://www.flipkart.com/redmi-pad-se-8-gb-ram-128-rom-11-0-inch-wi-fi-only-qualcomm-snapdragon-680-tablet-lavender-purple/p/itma5509f73ddb92?pid=TABHYYS9NRJGRYWF&lid=LSTTABHYYS9NRJGRYWFZ9EWXP&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry,2026-06-11T08:57:10.096Z
TABHBFQAZAKNQHFH,itm1e6ae470b6250,LSTTABHBFQAZAKNQHFHWAMA3O,MOTOROLA Pad 60 Pro 12 GB RAM 256 GB ROM 12.7 inch with Wi-Fi Only Gaming MediaTek Dimensity 8300 Tablet (PANTONE Bronze Green),MOTOROLA,GamingTablet,29999,₹29999,48999.0,₹48999,38,19000.0,38% off,4.5,8642,720,"{'1': 324, '2': 113, '3': 329, '4': 1805, '5': 6071}","{'category': 'GamingTablet', 'analytics_category': 'Tablet', 'analytics_sub_category': 'Tablet', 'Android Android 14 | Battery': '10200 mAh', 'Ideal Usage': 'Art & Design, Business, Entertainment, High Processing Tasks, Reading and Browsing', 'Processor': 'MediaTek Dimensity 8300'}","['12 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '32.26 cm (12.7 inch) Display', '13 MP Primary Camera | 8 MP Front', 'Android Android 14 | Battery: 10200 mAh', 'Ideal Usage: Art & Design, Business, Entertainment, High Processing Tasks, Reading and Browsing', 'Processor: MediaTek Dimensity 8300']",1 Year Comprehensive Warranty,IN_STOCK,True,POSITIVE,True,False,INR,Tablet,Tablet,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/tablet/o/x/w/zag20000in-motorola-original-imahb8mhhnfgf9zy.jpeg?q=75,https://www.flipkart.com/motorola-pad-60-pro-12-gb-ram-256-rom-12-7-inch-wi-fi-only-gaming-mediatek-dimensity-8300-tablet-pantone-bronze-green/p/itm1e6ae470b6250?pid=TABHBFQAZAKNQHFH&lid=LSTTABHBFQAZAKNQHFHWAMA3O&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry,2026-06-11T08:57:10.096Z
TABHYYS9FYTCDFXZ,itma5509f73ddb92,LSTTABHYYS9FYTCDFXZMFL3AI,REDMI  Pad SE 4 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Qualcomm Snapdragon 680 Tablet (Mint Green),REDMI,TabletWithoutCallFacility,10999,₹10999,14999.0,₹14999,26,4000.0,26% off,4.4,19531,1242,"{'1': 839, '2': 397, '3': 1137, '4': 4689, '5': 12469}","{'category': 'TabletWithoutCallFacility', 'analytics_category': 'Tablet', 'analytics_sub_category': 'Tablet', 'Android 13 | Battery': '8000 mAh Lithium Ion', 'Ideal Usage': 'Entertainment', 'Processor': 'Qualcomm Snapdragon 680'}","['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '27.94 cm (11.0 inch) Full HD Display', '8.0 MP Primary Camera | 5 MP Front', 'Android 13 | Battery: 8000 mAh Lithium Ion', 'Ideal Usage: Entertainment', 'Processor: Qualcomm Snapdragon 680']",1 Year Domestic Warranty,IN_STOCK,True,POSITIVE,True,False,INR,Tablet,Tablet,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/tablet/z/b/c/-original-imahfdyfragxcjsh.jpeg?q=75,https://www.flipkart.com/redmi-pad-se-4-gb-ram-128-rom-11-0-inch-wi-fi-only-qualcomm-snapdragon-680-tablet-mint-green/p/itma5509f73ddb92?pid=TABHYYS9FYTCDFXZ&lid=LSTTABHYYS9FYTCDFXZMFL3AI&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry,2026-06-11T08:57:10.096Z
TABHJFGYBWYZFGHJ,itm1faf9288044c1,LSTTABHJFGYBWYZFGHJ0PJ55W,Lenovo Tab 4 GB RAM 64 GB ROM 10.1 inch with Wi-Fi+4G Tablet (Luna Grey),Lenovo,TabletWithCallFacility,15999,₹15999,20999.0,₹20999,23,5000.0,23% off,4.1,130,6,"{'1': 10, '2': 10, '3': 8, '4': 25, '5': 77}","{'category': 'TabletWithCallFacility', 'analytics_category': 'Tablet', 'analytics_sub_category': 'Tablet'}","['4 GB RAM | 64 GB ROM', '25.65 cm (10.1 inch) Display', '8.0 MP Primary Camera', 'Android 14 | Battery:', 'Voice Call (Single Sim)']",1 Year Comprehensive Warranty,IN_STOCK,True,POSITIVE,True,False,INR,Tablet,Tablet,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/tablet/j/j/f/-original-imahjk64bahhazzg.jpeg?q=75,https://www.flipkart.com/lenovo-tab-4-gb-ram-64-rom-10-1-inch-wi-fi-4g-tablet-luna-grey/p/itm1faf9288044c1?pid=TABHJFGYBWYZFGHJ&lid=LSTTABHJFGYBWYZFGHJ0PJ55W&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry,2026-06-11T08:57:10.096Z
