id,item_id,listing_id,title,brand,category,price,price_text,original_price,original_price_text,discount_percent,discount_amount,discount_text,rating,rating_count,review_count,rating_breakdown,specifications,key_specs,warranty_summary,availability_status,is_available,buyability_intent,is_flipkart_advantage,swatch_available,currency,analytics_category,analytics_sub_category,market_place,image_url,url,fetched_at
ACCHGCJXBPZSTRW6,itm1fe603be80b6f,LSTACCHGCJXBPZSTRW6UOIB4M,YOROTO Portable Speaker With Thunder Sound and High Bass 5 W Bluetooth Speaker,YOROTO,MobileSpeaker,292,₹292,1999,₹1999,85,1707,85% off,4.1,2033.0,175.0,"{'1': 197, '2': 91, '3': 183, '4': 341, '5': 1221}","{'subtitle': 'Green, White, Stereo Channel', 'category': 'MobileSpeaker', 'analytics_category': 'PersonalAudio', 'analytics_sub_category': 'MobileSpeaker'}",,,IN_STOCK,True,POSITIVE,True,True,INR,PersonalAudio,MobileSpeaker,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/speaker/mobile-tablet-speaker/t/o/n/portable-speaker-with-thunder-sound-and-high-bass-yoroto-original-imahkut66cr8yjpc.jpeg?q=75,https://www.flipkart.com/yoroto-portable-speaker-thunder-sound-high-bass-5-w-bluetooth/p/itm1fe603be80b6f?pid=ACCHGCJXBPZSTRW6&lid=LSTACCHGCJXBPZSTRW6UOIB4M&marketplace=FLIPKART&q=bluetooth+speakers&store=0pm%2F0o7,2026-06-16T07:17:38.473Z
ACCGAU6GRGWZCCVQ,itm25169429bfb89,LSTACCGAU6GRGWZCCVQXWNBBO,"Mivi Fort S60 with 2 inBuilt Subwoofers, 3EQ Modes, Remote Ctrl 60 W Bluetooth Soundbar",Mivi,Soundbar,1799,₹1799,6999,₹6999,74,5200,74% off,4.3,53440.0,7051.0,"{'1': 3075, '2': 1354, '3': 3591, '4': 12714, '5': 32706}","{'subtitle': 'Black, 2.2 Channel', 'category': 'Soundbar', 'analytics_category': 'EntertainmentSmall', 'analytics_sub_category': 'HomeAudio'}",,,IN_STOCK,True,POSITIVE,True,True,INR,EntertainmentSmall,HomeAudio,FLIPKART,https://rukmini1.flixcart.com/image/832/832/l0r1j0w0/speaker/8/s/w/-original-imagch7jzhc2yefp.jpeg?q=75,https://www.flipkart.com/mivi-fort-s60-2-inbuilt-subwoofers-3eq-modes-remote-ctrl-60-w-bluetooth-soundbar/p/itm25169429bfb89?pid=ACCGAU6GRGWZCCVQ&lid=LSTACCGAU6GRGWZCCVQXWNBBO&marketplace=FLIPKART&q=bluetooth+speakers&store=0pm%2F0o7,2026-06-16T07:17:38.473Z
ACCHE6PJAAHZTVVG,itm1db7fe3c6f94c,LSTACCHE6PJAAHZTVVGOOTXWT,"Dubstep Pop 1400 With 14W Output, 16 Hrs Playtime, 52mm Drivers, TWS Pairing Wireless 14 W Bluetooth Speaker",Dubstep,MobileSpeaker,649,₹649,6999,₹6999,90,6350,90% off,4.3,1137.0,145.0,"{'1': 62, '2': 43, '3': 94, '4': 269, '5': 669}","{'subtitle': 'Black, Stereo Channel', 'category': 'MobileSpeaker', 'analytics_category': 'PersonalAudio', 'analytics_sub_category': 'MobileSpeaker'}",,,IN_STOCK,True,POSITIVE,True,True,INR,PersonalAudio,MobileSpeaker,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/speaker/mobile-tablet-speaker/u/3/s/pop-1400-with-14w-output-16-hrs-playtime-52mm-drivers-tws-original-imahe6pjegs4ggf9.jpeg?q=75,https://www.flipkart.com/dubstep-pop-1400-14w-output-16-hrs-playtime-52mm-drivers-tws-pairing-wireless-14-w-bluetooth-speaker/p/itm1db7fe3c6f94c?pid=ACCHE6PJAAHZTVVG&lid=LSTACCHE6PJAAHZTVVGOOTXWT&marketplace=FLIPKART&q=bluetooth+speakers&store=0pm%2F0o7,2026-06-16T07:17:38.473Z
ACCGGHH6MXJK6SB3,itm08029347893ca,LSTACCGGHH6MXJK6SB3SW6ABF,MZ M412SP (PORTABLE BLUETOOTH SPEAKER) Dynamic Thunder Sound With High Bass 5 W Bluetooth Speaker,MZ,MobileSpeaker,294,₹294,799,₹799,63,505,63% off,4.1,34266.0,2070.0,"{'1': 3249, '2': 1674, '3': 3347, '4': 7191, '5': 18805}","{'subtitle': 'Multicolor, Stereo Channel', 'category': 'MobileSpeaker', 'analytics_category': 'PersonalAudio', 'analytics_sub_category': 'MobileSpeaker'}",,,IN_STOCK,True,POSITIVE,True,True,INR,PersonalAudio,MobileSpeaker,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/speaker/mobile-tablet-speaker/l/b/j/m412sp-portable-dynamic-thunder-sound-with-high-bass-mz-original-imahmvtuzzyv4cb3.jpeg?q=75,https://www.flipkart.com/mz-m412sp-portable-bluetooth-speaker-dynamic-thunder-sound-high-bass-5-w-speaker/p/itm08029347893ca?pid=ACCGGHH6MXJK6SB3&lid=LSTACCGGHH6MXJK6SB3SW6ABF&marketplace=FLIPKART&q=bluetooth+speakers&store=0pm%2F0o7&spotlightTagId=default_BestsellerId_0pm%2F0o7,2026-06-16T07:17:38.473Z
ACCGBYWPTXMGAZAR,itm54d893795466f,LSTACCGBYWPTXMGAZARPEAFPV,"ZEBRONICS Vita Pro, Dual drivers,Upto 10H Playback,TWS, AUX/USB/mSD,LED display,wall mount 24 W Bluetooth Speaker",ZEBRONICS,MobileSpeaker,999,₹999,3499,₹3499,71,2500,71% off,4.0,97781.0,9401.0,"{'1': 10354, '2': 4417, '3': 10027, '4': 22199, '5': 50784}","{'subtitle': 'Black, Stereo Channel', 'category': 'MobileSpeaker', 'analytics_category': 'PersonalAudio', 'analytics_sub_category': 'MobileSpeaker'}",,,IN_STOCK,True,POSITIVE,False,True,INR,PersonalAudio,MobileSpeaker,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/speaker/soundbar/u/c/f/zeb-vita-pro-zebronics-original-imahhjtxgfyuhxen.jpeg?q=75,https://www.flipkart.com/zebronics-vita-pro-dual-drivers-upto-10h-playback-tws-aux-usb-msd-led-display-wall-mount-24-w-bluetooth-speaker/p/itm54d893795466f?pid=ACCGBYWPTXMGAZAR&lid=LSTACCGBYWPTXMGAZARPEAFPV&marketplace=FLIPKART&q=bluetooth+speakers&store=0pm%2F0o7&spotlightTagId=default_BestsellerId_0pm%2F0o7,2026-06-16T07:17:38.473Z
ACCGDY6TRW97CTAX,itm446707826f16e,LSTACCGDY6TRW97CTAX0SIU5W,"Samsung (HW-B45E/XL) 3 speakers Wireless Subwoofer, Dolby Digital and DTS Virtual X 300 W Bluetooth Soundbar",Samsung,Soundbar,11990,₹11990,19900,₹19900,39,7910,39% off,4.2,4351.0,594.0,"{'1': 412, '2': 119, '3': 287, '4': 879, '5': 2654}","{'subtitle': 'Black, 2.1 Channel', 'category': 'Soundbar', 'analytics_category': 'EntertainmentSmall', 'analytics_sub_category': 'HomeAudio'}",,,IN_STOCK,True,POSITIVE,True,True,INR,EntertainmentSmall,HomeAudio,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/speaker/c/n/x/-original-imagz4pejdkz64zu.jpeg?q=75,https://www.flipkart.com/samsung-hw-b45e-xl-3-speakers-wireless-subwoofer-dolby-digital-dts-virtual-x-300-w-bluetooth-soundbar/p/itm446707826f16e?pid=ACCGDY6TRW97CTAX&lid=LSTACCGDY6TRW97CTAX0SIU5W&marketplace=FLIPKART&q=bluetooth+speakers&store=0pm%2F0o7,2026-06-16T07:17:38.473Z
ACCH5GHCZAGEUA9R,itm9b37510cfe2e6,LSTACCH5GHCZAGEUA9RSOZ0I5,"FITRIC M3 (PORTABLE BLUETOOTH MINI SPEAKER) Dynamic Metal Sound With High Bass with Google, Alexa & Siri Assistant Smart Speaker",FITRIC,SmartSpeaker,286,₹286,999,₹999,71,713,71% off,3.8,18429.0,1208.0,"{'1': 3207, '2': 1323, '3': 1826, '4': 2556, '5': 9517}","{'subtitle': 'Multicolor', 'category': 'SmartSpeaker', 'analytics_category': 'PersonalAudio', 'analytics_sub_category': 'MobileSpeaker'}",,,IN_STOCK,True,POSITIVE,False,True,INR,PersonalAudio,MobileSpeaker,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/speaker/smart-speaker/5/p/a/m3-portable-bluetooth-mini-speaker-dynamic-metal-sound-with-high-original-imah5ghbz6tqn68z.jpeg?q=75,https://www.flipkart.com/fitric-m3-portable-bluetooth-mini-speaker-dynamic-metal-sound-high-bass-google-alexa-siri-assistant-smart-speaker/p/itm9b37510cfe2e6?pid=ACCH5GHCZAGEUA9R&lid=LSTACCH5GHCZAGEUA9RSOZ0I5&marketplace=FLIPKART&q=bluetooth+speakers&store=0pm%2F0o7,2026-06-16T07:17:38.474Z
ACCHM9UN757HWAWD,itmec9b8033dcf2e,LSTACCHM9UN757HWAWDWCUWCF,GOOD FUN High Sound Quality TV Sound Bars with Detachable Subwoofer SoundBar Surround35 20 W Bluetooth Speaker,GOOD,MobileSpeaker,807,₹807,6999,₹6999,88,6192,88% off,,,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}","{'subtitle': 'Black, 5.1 Channel', 'category': 'MobileSpeaker', 'analytics_category': 'PersonalAudio', 'analytics_sub_category': 'MobileSpeaker'}",,,IN_STOCK,True,POSITIVE,True,True,INR,PersonalAudio,MobileSpeaker,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/speaker/mobile-tablet-speaker/x/t/q/high-sound-quality-tv-sound-bars-with-detachable-subwoofer-original-imahmbxmqyuqze4y.jpeg?q=75,https://www.flipkart.com/good-fun-high-sound-quality-tv-bars-detachable-subwoofer-soundbar-surround35-20-w-bluetooth-speaker/p/itmec9b8033dcf2e?pid=ACCHM9UN757HWAWD&lid=LSTACCHM9UN757HWAWDWCUWCF&marketplace=FLIPKART&q=bluetooth+speakers&store=0pm%2F0o7,2026-06-16T07:17:38.474Z
ACCHFXNQCVERDYEJ,itm39f2ae64f390e,LSTACCHFXNQCVERDYEJNJNOLO,"ZEBRONICS Vita Bar 200, Dual Drivers, Upto 8H Playback,USB/AUX, RGB LED, Type-C Charging 24 W Bluetooth Speaker",ZEBRONICS,MobileSpeaker,1499,₹1499,3499,₹3499,57,2000,57% off,4.0,5216.0,470.0,"{'1': 573, '2': 237, '3': 500, '4': 1243, '5': 2663}","{'subtitle': 'Black, Stereo Channel', 'category': 'MobileSpeaker', 'analytics_category': 'PersonalAudio', 'analytics_sub_category': 'MobileSpeaker'}",,,IN_STOCK,True,POSITIVE,True,True,INR,PersonalAudio,MobileSpeaker,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/speaker/mobile-tablet-speaker/j/f/g/pspk-31-zebronics-original-imahhqczqf6bmshg.jpeg?q=75,https://www.flipkart.com/zebronics-vita-bar-200-dual-drivers-upto-8h-playback-usb-aux-rgb-led-type-c-charging-24-w-bluetooth-speaker/p/itm39f2ae64f390e?pid=ACCHFXNQCVERDYEJ&lid=LSTACCHFXNQCVERDYEJNJNOLO&marketplace=FLIPKART&q=bluetooth+speakers&store=0pm%2F0o7,2026-06-16T07:17:38.474Z
ACCGJ65GGTDEJBBN,itmec3b0dc88bb2d,LSTACCGJ65GGTDEJBBNRUG0SQ,MZ M423SP (PORTABLE HOME TV SOUNDBAR) Dynamic Thunder Sound 2400mAh Battery 10 W Bluetooth Soundbar,MZ,Soundbar,654,₹654,1599,₹1599,59,945,59% off,4.0,58465.0,3406.0,"{'1': 7419, '2': 3223, '3': 5539, '4': 10103, '5': 32181}","{'subtitle': 'Black, Stereo Channel', 'category': 'Soundbar', 'analytics_category': 'EntertainmentSmall', 'analytics_sub_category': 'HomeAudio'}",,,IN_STOCK,True,POSITIVE,True,True,INR,EntertainmentSmall,HomeAudio,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/speaker/soundbar/n/i/p/m423sp-portable-home-tv-dynamic-thunder-sound-2400mah-battery-original-imahkwqzzdjg6uud.jpeg?q=75,https://www.flipkart.com/mz-m423sp-portable-home-tv-soundbar-dynamic-thunder-sound-2400mah-battery-10-w-bluetooth-soundbar/p/itmec3b0dc88bb2d?pid=ACCGJ65GGTDEJBBN&lid=LSTACCGJ65GGTDEJBBNRUG0SQ&marketplace=FLIPKART&q=bluetooth+speakers&store=0pm%2F0o7,2026-06-16T07:17:38.474Z
