id,item_id,listing_id,title,brand,category,price,price_text,original_price,original_price_text,discount_percent,discount_amount,discount_text,rating,rating_count,review_count,rating_breakdown,specifications,key_specs,warranty_summary,availability_status,is_available,buyability_intent,is_flipkart_advantage,swatch_available,currency,analytics_category,analytics_sub_category,market_place,image_url,url,fetched_at
COMHDZVEE22P67WR,itm08bbf58218363,LSTCOMHDZVEE22P67WR32U1SH,HP Victus AI AMD Ryzen 7 Octa Core 260 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 5050) 15-fb3185AX Gaming Laptop,HP,Laptop,114990,₹114990,201865,₹201865,43,86875,43% off,4.5,531.0,47.0,"{'1': 27, '2': 4, '3': 24, '4': 109, '5': 367}","{'subtitle': '15.6 Inch, Mica Silver, Black Chrome Logo, 2.29 Kg, With MS Office', 'category': 'Laptop', 'analytics_category': 'Laptops', 'analytics_sub_category': 'Laptop'}","['AMD Ryzen 7 Octa Core Processor', '24 GB DDR5 RAM', 'Windows 11 Home Operating System', '1 TB SSD', '39.62 cm (15.6 Inch) Display', 'MS Office Home 2024 + MISC PC Game Pass DA 3M']",1 Year Onsite Warranty,IN_STOCK,True,POSITIVE,True,True,INR,Laptops,Laptop,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/computer/l/w/k/-original-imahgfdfntwwxbqn.jpeg?q=75,https://www.flipkart.com/hp-victus-ai-amd-ryzen-7-octa-core-260-24-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-15-fb3185ax-gaming-laptop/p/itm08bbf58218363?pid=COMHDZVEE22P67WR&lid=LSTCOMHDZVEE22P67WR32U1SH&marketplace=FLIPKART&q=gaming+laptops&store=4rr%2Ftz1,2026-06-16T07:17:18.944Z
COMHEYV7U4CRVF33,itm66c74c31dbd4c,LSTCOMHEYV7U4CRVF33E9FCEV,Lenovo LoQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050A/144 Hz) LoQ 15IRX9 Gaming Laptop,Lenovo,Laptop,76990,₹76990,97190,₹97190,20,20200,20% off,4.5,688.0,53.0,"{'1': 33, '2': 8, '3': 25, '4': 159, '5': 463}","{'subtitle': '15.6 Inch, Luna Grey, 2.38 Kg, With MS Office', 'category': 'Laptop', 'analytics_category': 'Laptops', 'analytics_sub_category': 'Laptop'}","['Intel Core i5 Processor (13th Gen)', '16 GB DDR5 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Office Home 2024']",1 Year onsite Warranty,IN_STOCK,True,POSITIVE,True,True,INR,Laptops,Laptop,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/computer/k/e/a/-original-imahde5ygpchnjsc.jpeg?q=75,https://www.flipkart.com/lenovo-loq-intel-core-i5-13th-gen-13450hx-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050a-144-hz-15irx9-gaming-laptop/p/itm66c74c31dbd4c?pid=COMHEYV7U4CRVF33&lid=LSTCOMHEYV7U4CRVF33E9FCEV&marketplace=FLIPKART&q=gaming+laptops&store=4rr%2Ftz1,2026-06-16T07:17:18.944Z
COMGXMSXNZSJERHE,itm61400c2ed6802,LSTCOMGXMSXNZSJERHELUC5TJ,MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) Thin A15 B7UC-284IN / Thin A15 B7UC-102IN Gaming Laptop,MSI,Laptop,59990,₹59990,78990,₹78990,24,19000,24% off,4.4,351.0,30.0,"{'1': 16, '2': 7, '3': 16, '4': 85, '5': 227}","{'subtitle': '15.6 Inch, Cosmos Gray, 1.86 Kg', 'category': 'Laptop', 'analytics_category': 'Laptops', 'analytics_sub_category': 'Laptop'}","['AMD Ryzen 5 Hexa Core Processor', '16 GB DDR5 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display']",2 Year Onsite Warranty,IN_STOCK,True,POSITIVE,True,True,INR,Laptops,Laptop,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/computer/h/2/m/-original-imahg4usxgumz4wx.jpeg?q=75,https://www.flipkart.com/msi-thin-a15-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-b7uc-284in-b7uc-102in-gaming-laptop/p/itm61400c2ed6802?pid=COMGXMSXNZSJERHE&lid=LSTCOMGXMSXNZSJERHELUC5TJ&marketplace=FLIPKART&q=gaming+laptops&store=4rr%2Ftz1,2026-06-16T07:17:18.945Z
COMHEDHRYUAEEEJG,itmca7ce1e457d2f,LSTCOMHEDHRYUAEEEJGWOPSSC,ASUS TUF Gaming A15 (2025) AMD Ryzen 7 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) FA506NCG-HN199W Gaming Laptop,ASUS,Laptop,68990,₹68990,83990,₹83990,17,15000,17% off,4.4,4133.0,239.0,"{'1': 270, '2': 73, '3': 200, '4': 898, '5': 2692}","{'subtitle': '15.6 Inch, Black, 2.3 Kg', 'category': 'Laptop', 'analytics_category': 'Laptops', 'analytics_sub_category': 'Laptop'}","['AMD Ryzen 7 Processor', '16 GB DDR5 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display']",1 Year Onsite Warranty,IN_STOCK,True,POSITIVE,True,True,INR,Laptops,Laptop,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/computer/y/t/y/-original-imahgfdfmfhfsqy8.jpeg?q=75,https://www.flipkart.com/asus-tuf-gaming-a15-2025-amd-ryzen-7-7445hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fa506ncg-hn199w-laptop/p/itmca7ce1e457d2f?pid=COMHEDHRYUAEEEJG&lid=LSTCOMHEDHRYUAEEEJGWOPSSC&marketplace=FLIPKART&q=gaming+laptops&store=4rr%2Ftz1,2026-06-16T07:17:18.945Z
COMHEHHXKFQSABXZ,itm5661c90728083,LSTCOMHEHHXKFQSABXZEF3JCN,HP OMEN AI AMD Ryzen AI 7 Octa Core AI 7 350 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 5050) 16-ap0165AX Gaming Laptop,HP,Laptop,134990,₹134990,162996,₹162996,17,28006,17% off,4.5,58.0,5.0,"{'1': 3, '2': 1, '3': 2, '4': 11, '5': 41}","{'subtitle': '16 Inch, Shadow black, 2.44 Kg, With MS Office', 'category': 'Laptop', 'analytics_category': 'Laptops', 'analytics_sub_category': 'Laptop'}","['AMD Ryzen AI 7 Octa Core Processor', '24 GB DDR5 RAM', 'Windows 11 Home Operating System', '1 TB SSD', '40.64 cm (16 Inch) Display']",1 Year Onsite Warranty,IN_STOCK,True,POSITIVE,True,True,INR,Laptops,Laptop,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/computer/1/a/f/-original-imahgfdy8czyaypq.jpeg?q=75,https://www.flipkart.com/hp-omen-ai-amd-ryzen-7-octa-core-350-24-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-16-ap0165ax-gaming-laptop/p/itm5661c90728083?pid=COMHEHHXKFQSABXZ&lid=LSTCOMHEHHXKFQSABXZEF3JCN&marketplace=FLIPKART&q=gaming+laptops&store=4rr%2Ftz1,2026-06-16T07:17:18.945Z
COMHMZBPBHKKCJMP,itm05065a78d80dd,LSTCOMHMZBPBHKKCJMPW80UCJ,MSI Raider A18 HX AMD Ryzen 9 16 Core 9955HX3D - (64 GB/2 TB SSD/Windows 11 Home/24 GB Graphics/NVIDIA GeForce RTX 5090/120 Hz/260 W) Raider A18 HX A9WJG-283IN Gaming Laptop,MSI,Laptop,512990,₹512990,666990,₹666990,23,154000,23% off,,,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}","{'subtitle': '18 Inch, Core Black, 3.6 Kg', 'category': 'Laptop', 'analytics_category': 'Laptops', 'analytics_sub_category': 'Laptop'}","['AMD Ryzen 9 16 Core Processor', '64 GB DDR5 RAM', '64 bit Windows 11 Operating System', '2 TB SSD', '45.72 cm (18 Inch) Display']",2 Year On-Site Warranty,IN_STOCK,True,POSITIVE,False,True,INR,Laptops,Laptop,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/computer/1/0/r/raider-a18-hx-a9wjg-gaming-laptop-msi-original-imahmza2p77pna7x.jpeg?q=75,https://www.flipkart.com/msi-raider-a18-hx-amd-ryzen-9-16-core-9955hx3d-64-gb-2-tb-ssd-windows-11-home-24-gb-graphics-nvidia-geforce-rtx-5090-120-hz-260-w-a9wjg-283in-gaming-laptop/p/itm05065a78d80dd?pid=COMHMZBPBHKKCJMP&lid=LSTCOMHMZBPBHKKCJMPW80UCJ&marketplace=FLIPKART&q=gaming+laptops&store=4rr%2Ftz1,2026-06-16T07:17:18.945Z
COMHEJV9YYR3GDKG,itm8240637ba90b5,LSTCOMHEJV9YYR3GDKGZUM5RH,HP OMEN (i7 14th Gen) Intel Core 7 240H - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 5050) 16-am0277TX Gaming Laptop,HP,Laptop,130600,₹130600,146134,₹146134,10,15534,10% off,4.5,118.0,8.0,"{'1': 5, '2': 0, '3': 7, '4': 27, '5': 79}","{'subtitle': '16 Inch, Shadow black, black chrome logo, 2.43 Kg, With MS Office', 'category': 'Laptop', 'analytics_category': 'Laptops', 'analytics_sub_category': 'Laptop'}","['Intel Core 7 Processor', '24 GB DDR5 RAM', 'Windows 11 Home Operating System', '1 TB SSD', '40.64 cm (16 Inch) Display', 'MS Office Home 2024 + MISC PC Game Pass DA 3M']",1 Year Onsite Warranty,IN_STOCK,True,POSITIVE,True,True,INR,Laptops,Laptop,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/computer/l/v/s/16-am0277tx-gaming-laptop-hp-original-imahf598m34rd2zj.jpeg?q=75,https://www.flipkart.com/hp-omen-i7-14th-gen-intel-core-7-240h-24-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-16-am0277tx-gaming-laptop/p/itm8240637ba90b5?pid=COMHEJV9YYR3GDKG&lid=LSTCOMHEJV9YYR3GDKGZUM5RH&marketplace=FLIPKART&q=gaming+laptops&store=4rr%2Ftz1,2026-06-16T07:17:18.945Z
COMH8EPFG25GDHDC,itmd1b02da743465,LSTCOMH8EPFG25GDHDCJE052J,DELL G15 Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 5530 Gaming Laptop,DELL,Laptop,76990,₹76990,93021,₹93021,17,16031,17% off,4.2,878.0,69.0,"{'1': 86, '2': 26, '3': 52, '4': 188, '5': 526}","{'subtitle': '15.6 Inch, Dark Shadow Gray With Black Thermal Shelf, 2.65 Kg, With MS Office', 'category': 'Laptop', 'analytics_category': 'Laptops', 'analytics_sub_category': 'Laptop'}","['Intel Core i5 Processor (13th Gen)', '16 GB DDR5 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Alienware Command Center,Dell Support Assist)']",1 Year Basic Onsite Service after remote diagnosis with Hardware-Only Support,IN_STOCK,True,POSITIVE,True,True,INR,Laptops,Laptop,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/computer/y/z/v/-original-imahg5fttxt3pgcb.jpeg?q=75,https://www.flipkart.com/dell-g15-intel-core-i5-13th-gen-13450hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-120-hz-5530-gaming-laptop/p/itmd1b02da743465?pid=COMH8EPFG25GDHDC&lid=LSTCOMH8EPFG25GDHDCJE052J&marketplace=FLIPKART&q=gaming+laptops&store=4rr%2Ftz1,2026-06-16T07:17:18.945Z
COMHEWAJZBBN7UP4,itmb8196b6d3b8d4,LSTCOMHEWAJZBBN7UP4PZBSC8,Lenovo LOQ 2025 Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 5050) LoQ 15IRX10 Gaming Laptop,Lenovo,Laptop,124990,₹124990,148090,₹148090,15,23100,15% off,4.4,253.0,20.0,"{'1': 23, '2': 3, '3': 9, '4': 42, '5': 176}","{'subtitle': '15.6 Inch, Luna Grey, 2.4 Kg, With MS Office', 'category': 'Laptop', 'analytics_category': 'Laptops', 'analytics_sub_category': 'Laptop'}","['Intel Core i7 Processor (13th Gen)', '16 GB DDR5 RAM', 'Windows 11 Home Operating System', '1 TB SSD', '39.62 cm (15.6 Inch) Display', 'Office Home 2024 + Lenovo AI Now']",1 Year Onsite Warranty,IN_STOCK,True,POSITIVE,True,True,INR,Laptops,Laptop,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/computer/v/i/i/-original-imahfdr2fqzt9d9z.jpeg?q=75,https://www.flipkart.com/lenovo-loq-2025-intel-core-i7-13th-gen-13700hx-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-15irx10-gaming-laptop/p/itmb8196b6d3b8d4?pid=COMHEWAJZBBN7UP4&lid=LSTCOMHEWAJZBBN7UP4PZBSC8&marketplace=FLIPKART&q=gaming+laptops&store=4rr%2Ftz1,2026-06-16T07:17:18.945Z
COMH8Z22GGEQZBVQ,itm12155252a3140,LSTCOMH8Z22GGEQZBVQDEIB54,HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050/144 Hz) Victus 15-fa2381TX / 15-fa2701TX / 15-fa1278TX Gaming Laptop,HP,Laptop,92990,₹92990,171168,₹171168,45,78178,45% off,4.2,1016.0,45.0,"{'1': 90, '2': 16, '3': 69, '4': 223, '5': 618}","{'subtitle': '15.6 Inch, Mica Silver, 2.29 Kg, With MS Office', 'category': 'Laptop', 'analytics_category': 'Laptops', 'analytics_sub_category': 'Laptop'}","['Intel Core i5 Processor (13th Gen)', '16 GB DDR4 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display']",1 Year Carry-in Warranty,IN_STOCK,True,POSITIVE,True,True,INR,Laptops,Laptop,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/computer/o/5/n/-original-imahg5fxv5emu49y.jpeg?q=75,https://www.flipkart.com/hp-victus-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-144-hz-15-fa2381tx-15-fa2701tx-15-fa1278tx-gaming-laptop/p/itm12155252a3140?pid=COMH8Z22GGEQZBVQ&lid=LSTCOMH8Z22GGEQZBVQDEIB54&marketplace=FLIPKART&q=gaming+laptops&store=4rr%2Ftz1,2026-06-16T07:17:18.945Z
