id,item_id,listing_id,title,brand,category,price,price_text,original_price,original_price_text,discount_percent,discount_amount,discount_text,rating,rating_count,review_count,rating_breakdown,specifications,key_specs,warranty_summary,availability_status,is_available,buyability_intent,is_flipkart_advantage,swatch_available,currency,analytics_category,analytics_sub_category,market_place,image_url,url,fetched_at
PWBH3VWYZDWTYBYS,itme2dae8e64d942,LSTPWBH3VWYZDWTYBYSUBRFWM,Mi 20000 mAh 33 W Power Bank,Mi,PowerBank,1926,₹1926,3999,₹3999,51,2073,51% off,4.3,383295.0,24860.0,"{'1': 24266, '2': 9879, '3': 25780, '4': 85644, '5': 237726}","{'subtitle': 'Black, Lithium-ion, Power Delivery 3.0 for Mobile, Earbuds, Speaker, Smartwatch, Trimmer, Tablet', 'brand': 'Mi', 'category': 'PowerBank', 'analytics_category': 'PowerBank', 'analytics_sub_category': 'PowerBank'}",,,IN_STOCK,True,POSITIVE,True,False,INR,PowerBank,PowerBank,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/power-bank/a/c/x/-original-imah45heessfc5jg.jpeg?q=75,https://www.flipkart.com/mi-20000-mah-33-w-power-bank/p/itme2dae8e64d942?pid=PWBH3VWYZDWTYBYS&lid=LSTPWBH3VWYZDWTYBYSUBRFWM&marketplace=FLIPKART&q=power+banks&store=tyy%2F4mr%2Ffu6,2026-06-16T07:18:48.648Z
PWBH2GHHKQT5MKJF,itm0bbd6e648368b,LSTPWBH2GHHKQT5MKJFCYYRGF,Mi 10000 mAh 22.5 W Power Bank,Mi,PowerBank,1199,₹1199,2499,₹2499,52,1300,52% off,4.3,428684.0,28918.0,"{'1': 27415, '2': 12625, '3': 32965, '4': 96696, '5': 258983}","{'subtitle': 'Olive Green, Lithium-ion, Power Delivery 3.0 for Mobile, Earbuds, Speaker, Smartwatch, Trimmer, Tablet', 'brand': 'Mi', 'category': 'PowerBank', 'analytics_category': 'PowerBank', 'analytics_sub_category': 'PowerBank'}",,,IN_STOCK,True,POSITIVE,True,False,INR,PowerBank,PowerBank,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/power-bank/x/y/f/-original-imah2h6hvtzqjzaq.jpeg?q=75,https://www.flipkart.com/mi-10000-mah-22-5-w-power-bank/p/itm0bbd6e648368b?pid=PWBH2GHHKQT5MKJF&lid=LSTPWBH2GHHKQT5MKJFCYYRGF&marketplace=FLIPKART&q=power+banks&store=tyy%2F4mr%2Ffu6,2026-06-16T07:18:48.649Z
PWBHKNTDBZPGN8HE,itm5ea8b79db6287,LSTPWBHKNTDBZPGN8HEU3HFPU,Callone 10400 mAh 15 W Pocket Size Power Bank,Callone,PowerBank,391,₹391,999,₹999,60,608,60% off,3.6,26.0,1.0,"{'1': 5, '2': 3, '3': 2, '4': 4, '5': 12}","{'subtitle': 'White, Lithium-ion, Fast Charging, Power Delivery 2.0, Quick Charge 2.0 for Mobile, Earbuds, Smartwatch, Smartband, Speaker, Trimmer', 'brand': 'Callone', 'category': 'PowerBank', 'analytics_category': 'PowerBank', 'analytics_sub_category': 'PowerBank'}",,,IN_STOCK,True,POSITIVE,False,False,INR,PowerBank,PowerBank,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/power-bank/h/o/o/mini-power-bank-10300-copb-101-mini-callone-original-imahknskdg8htehx.jpeg?q=75,https://www.flipkart.com/callone-10400-mah-15-w-pocket-size-power-bank/p/itm5ea8b79db6287?pid=PWBHKNTDBZPGN8HE&lid=LSTPWBHKNTDBZPGN8HEU3HFPU&marketplace=FLIPKART&q=power+banks&store=tyy%2F4mr%2Ffu6,2026-06-16T07:18:48.649Z
PWBH6YHRAGHDN4PA,itm20fd7a23cbbe6,LSTPWBH6YHRAGHDN4PAOQQ5L1,Kratos 10000 mAh 12.5 W Compact Pocket Size Power Bank,Kratos,PowerBank,549,₹549,2999,₹2999,81,2450,81% off,3.9,3249.0,304.0,"{'1': 448, '2': 219, '3': 339, '4': 554, '5': 1689}","{'subtitle': 'Black, Lithium Polymer, Fast Charging for Mobile, Earbuds, Speaker, Trimmer, Tablet', 'brand': 'Kratos', 'category': 'PowerBank', 'analytics_category': 'PowerBank', 'analytics_sub_category': 'PowerBank'}",,,IN_STOCK,True,POSITIVE,True,False,INR,PowerBank,PowerBank,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/power-bank/m/r/i/10000mah-slim-power-bank-dual-usb-output-fast-charging-bis-original-imahg2g3rzxyephm.jpeg?q=75,https://www.flipkart.com/kratos-10000-mah-12-5-w-compact-pocket-size-power-bank/p/itm20fd7a23cbbe6?pid=PWBH6YHRAGHDN4PA&lid=LSTPWBH6YHRAGHDN4PAOQQ5L1&marketplace=FLIPKART&q=power+banks&store=tyy%2F4mr%2Ffu6,2026-06-16T07:18:48.649Z
PWBGFJGA6KN2CUBJ,itmcf405aedc6f51,LSTPWBGFJGA6KN2CUBJ1XBH0O,Callmate 10000 mAh 15 W Power Bank,Callmate,PowerBank,499,₹499,1999,₹1999,75,1500,75% off,3.6,12409.0,621.0,"{'1': 2649, '2': 1059, '3': 1293, '4': 1549, '5': 5859}","{'subtitle': 'White, Lithium Polymer, Fast Charging for Mobile', 'brand': 'Callmate', 'category': 'PowerBank', 'analytics_category': 'PowerBank', 'analytics_sub_category': 'PowerBank'}",,,IN_STOCK,True,POSITIVE,False,False,INR,PowerBank,PowerBank,FLIPKART,https://rukmini1.flixcart.com/image/832/832/kmp7ngw0/power-bank/x/t/b/power-bank-10000-mah-with-dual-usb-with-dual-torch-t80-callmate-original-imagfjgatcsrhbzw.jpeg?q=75,https://www.flipkart.com/callmate-10000-mah-15-w-power-bank/p/itmcf405aedc6f51?pid=PWBGFJGA6KN2CUBJ&lid=LSTPWBGFJGA6KN2CUBJ1XBH0O&marketplace=FLIPKART&q=power+banks&store=tyy%2F4mr%2Ffu6,2026-06-16T07:18:48.649Z
PWBH2GHHHZZB4D3U,itm0bbd6e648368b,LSTPWBH2GHHHZZB4D3UYLB8AB,Mi 10000 mAh 22.5 W Power Bank,Mi,PowerBank,1199,₹1199,2499,₹2499,52,1300,52% off,4.3,428684.0,28918.0,"{'1': 27415, '2': 12625, '3': 32965, '4': 96696, '5': 258983}","{'subtitle': 'Coral Purple, Lithium-ion, Power Delivery 3.0 for Mobile, Earbuds, Speaker, Smartwatch, Trimmer, Tablet', 'brand': 'Mi', 'category': 'PowerBank', 'analytics_category': 'PowerBank', 'analytics_sub_category': 'PowerBank'}",,,IN_STOCK,True,POSITIVE,True,False,INR,PowerBank,PowerBank,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/power-bank/v/5/5/-original-imah2h6hhgmezzux.jpeg?q=75,https://www.flipkart.com/mi-10000-mah-22-5-w-power-bank/p/itm0bbd6e648368b?pid=PWBH2GHHHZZB4D3U&lid=LSTPWBH2GHHHZZB4D3UYLB8AB&marketplace=FLIPKART&q=power+banks&store=tyy%2F4mr%2Ffu6,2026-06-16T07:18:48.649Z
PWBH7E7RQH8G4HRK,itm574402f07e1f4,LSTPWBH7E7RQH8G4HRK48ORWN,Kratos 10000 mAh 22.5 W Slim Pocket Size Power Bank,Kratos,PowerBank,579,₹579,1999,₹1999,71,1420,71% off,4.0,2851.0,303.0,"{'1': 317, '2': 142, '3': 272, '4': 602, '5': 1518}","{'subtitle': 'Black, Lithium Polymer, Power Delivery 3.0, Fast Charging for Mobile, Earbuds, Speaker, Trimmer, Tablet', 'brand': 'Kratos', 'category': 'PowerBank', 'analytics_category': 'PowerBank', 'analytics_sub_category': 'PowerBank'}",,,IN_STOCK,True,POSITIVE,False,False,INR,PowerBank,PowerBank,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/power-bank/z/r/d/10000mah-power-bank-22-5w-fast-charge-triple-output-led-original-imahgk3hrg38mb99.jpeg?q=75,https://www.flipkart.com/kratos-10000-mah-22-5-w-slim-pocket-size-power-bank/p/itm574402f07e1f4?pid=PWBH7E7RQH8G4HRK&lid=LSTPWBH7E7RQH8G4HRK48ORWN&marketplace=FLIPKART&q=power+banks&store=tyy%2F4mr%2Ffu6,2026-06-16T07:18:48.650Z
PWBGRZHGTEWXSQJP,itm24fe22118a120,LSTPWBGRZHGTEWXSQJPKFDS3S,Callmate 40000 mAh 23 W Power Bank,Callmate,PowerBank,2499,₹2499,4999,₹4999,50,2500,50% off,3.9,1391.0,103.0,"{'1': 196, '2': 79, '3': 131, '4': 212, '5': 773}","{'subtitle': 'Yellow, Lithium Polymer, Fast Charging for Mobile', 'brand': 'Callmate', 'category': 'PowerBank', 'analytics_category': 'PowerBank', 'analytics_sub_category': 'PowerBank'}",,,IN_STOCK,True,POSITIVE,False,False,INR,PowerBank,PowerBank,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/power-bank/q/i/o/ultrafuse-max-power-bank-40000-mah-with-4-usb-ports-with-3-input-original-imahyq87jzvmux3b.jpeg?q=75,https://www.flipkart.com/callmate-40000-mah-23-w-power-bank/p/itm24fe22118a120?pid=PWBGRZHGTEWXSQJP&lid=LSTPWBGRZHGTEWXSQJPKFDS3S&marketplace=FLIPKART&q=power+banks&store=tyy%2F4mr%2Ffu6,2026-06-16T07:18:48.650Z
PWBGY9HEFCGPBFZ5,itmda5a368b57991,LSTPWBGY9HEFCGPBFZ5YS9PYK,Portronics 10000 mAh 12 W Slim Power Bank,Portronics,PowerBank,649,₹649,1499,₹1499,56,850,56% off,3.9,3822.0,249.0,"{'1': 491, '2': 199, '3': 379, '4': 735, '5': 2018}","{'subtitle': 'Black, Lithium Polymer, Fast Charging for Mobile, Tablet', 'brand': 'Portronics', 'category': 'PowerBank', 'analytics_category': 'PowerBank', 'analytics_sub_category': 'PowerBank'}",,,IN_STOCK,True,POSITIVE,True,False,INR,PowerBank,PowerBank,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/power-bank/s/x/d/luxcell-b12-10000-por-2253-portronics-original-imagy9hedbgqdkbh.jpeg?q=75,https://www.flipkart.com/portronics-10000-mah-12-w-slim-power-bank/p/itmda5a368b57991?pid=PWBGY9HEFCGPBFZ5&lid=LSTPWBGY9HEFCGPBFZ5YS9PYK&marketplace=FLIPKART&q=power+banks&store=tyy%2F4mr%2Ffu6&spotlightTagId=default_TrendingId_tyy%2F4mr%2Ffu6,2026-06-16T07:18:48.650Z
PWBH2GGFDGURFAK9,itm0bbd6e648368b,LSTPWBH2GGFDGURFAK9ANPROK,Mi 10000 mAh 22.5 W Power Bank,Mi,PowerBank,1199,₹1199,2499,₹2499,52,1300,52% off,4.3,428684.0,28918.0,"{'1': 27415, '2': 12625, '3': 32965, '4': 96696, '5': 258983}","{'subtitle': 'Black, Lithium-ion, Power Delivery 3.0 for Mobile, Earbuds, Speaker, Smartwatch, Trimmer, Tablet', 'brand': 'Mi', 'category': 'PowerBank', 'analytics_category': 'PowerBank', 'analytics_sub_category': 'PowerBank'}",,,IN_STOCK,True,POSITIVE,True,False,INR,PowerBank,PowerBank,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/power-bank/u/b/p/10000mah-4i-10000-pb100dpd-in-xiaomi-original-imah2ghrnscqwhen.jpeg?q=75,https://www.flipkart.com/mi-10000-mah-22-5-w-power-bank/p/itm0bbd6e648368b?pid=PWBH2GGFDGURFAK9&lid=LSTPWBH2GGFDGURFAK9ANPROK&marketplace=FLIPKART&q=power+banks&store=tyy%2F4mr%2Ffu6,2026-06-16T07:18:48.650Z
