id,item_id,listing_id,title,brand,category,price,price_text,original_price,original_price_text,discount_percent,discount_amount,discount_text,rating,rating_count,review_count,rating_breakdown,specifications,key_specs,warranty_summary,availability_status,is_available,buyability_intent,is_flipkart_advantage,swatch_available,currency,analytics_category,analytics_sub_category,market_place,image_url,url,fetched_at
TVSHN8DXJKWGY7D3,itm9182128ec641b,LSTTVSHN8DXJKWGY7D3ML10KE,realme TechLife 109 cm (43 inch) QLED Ultra HD (4K) Smart Google TV 2026 Edition,realme TechLife,Television,21499,₹21499,53999,₹53999,60,32500,60% off,,,,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}","{'subtitle': '43UHDGQRVHSQ', 'brand': 'realme TechLife', 'category': 'Television', 'analytics_category': 'Television', 'analytics_sub_category': 'Television', 'Model ID': '43UHDGQRVHSQ', 'Launch Year': '2026', 'Total Sound Output': '30 W'}","['Ultra HD (4K) | QLED', 'Model ID: 43UHDGQRVHSQ', 'Launch Year: 2026', 'Total Sound Output: 30 W']",1 year Warranty for Manufacturing Defects (Applicable only in INDIA),IN_STOCK,True,POSITIVE,True,False,INR,Television,Television,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/television/6/p/w/-original-imahzc5xxjxax6xg.jpeg?q=75,https://www.flipkart.com/realme-techlife-109-cm-43-inch-qled-ultra-hd-4k-smart-google-tv-2026/p/itm9182128ec641b?pid=TVSHN8DXJKWGY7D3&lid=LSTTVSHN8DXJKWGY7D3ML10KE&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl,2026-06-16T07:18:24.557Z
TVSHCQEXV8THRDHH,itm7d7fcf001d78e,LSTTVSHCQEXV8THRDHHTGPMVF,Thomson Phoenix 2025 Edition 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Atmos 50 Watts Sound Output 2 Speakers AI Smooth Motion Rate HDR 10 Google Assistan,Thomson,Television,20999,₹20999,28999,₹28999,27,8000,27% off,4.3,38773.0,6068.0,"{'1': 3977, '2': 774, '3': 1369, '4': 8002, '5': 24651}","{'subtitle': '43QAI1005', 'brand': 'Thomson', 'category': 'Television', 'analytics_category': 'Television', 'analytics_sub_category': 'Television', 'Model ID': '43QAI1005', 'Launch Year': '2025', 'Total Sound Output': '50 W'}","['Ultra HD (4K) | QLED', 'Model ID: 43QAI1005', 'Launch Year: 2025', 'Total Sound Output: 50 W']",1 Year Warranty on Product,IN_STOCK,True,POSITIVE,False,False,INR,Television,Television,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/television/u/2/r/-original-imahdackahfezwpt.jpeg?q=75,https://www.flipkart.com/thomson-phoenix-2025-108-cm-43-inch-qled-ultra-hd-4k-smart-google-tv-dolby-atmos-50-watts-sound-output-2-speakers-ai-smooth-motion-rate-hdr-10-assistan/p/itm7d7fcf001d78e?pid=TVSHCQEXV8THRDHH&lid=LSTTVSHCQEXV8THRDHHTGPMVF&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl,2026-06-16T07:18:24.558Z
TVSHHQCRSRBAA7YT,itmac07e2a13f361,LSTTVSHHQCRSRBAA7YTDYJ8NQ,VW 60 cm (24 inch) HD Ready LED TV 2025 Edition,VW,Television,5499,₹5499,11000,₹11000,50,5501,50% off,4.0,1544.0,176.0,"{'1': 214, '2': 71, '3': 133, '4': 253, '5': 873}","{'subtitle': 'VW24A', 'brand': 'VW', 'category': 'Television', 'analytics_category': 'Television', 'analytics_sub_category': 'Television', 'Model ID': 'VW24A', 'Launch Year': '2025', 'Total Sound Output': '20 W'}","['HD Ready | LED', 'Model ID: VW24A', 'Launch Year: 2025', 'Total Sound Output: 20 W']",1 year warranty on product,IN_STOCK,True,POSITIVE,True,False,INR,Television,Television,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/television/e/s/w/-original-imahgs5x7j5gznds.jpeg?q=75,https://www.flipkart.com/vw-60-cm-24-inch-hd-ready-led-tv-2025/p/itmac07e2a13f361?pid=TVSHHQCRSRBAA7YT&lid=LSTTVSHHQCRSRBAA7YTDYJ8NQ&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl,2026-06-16T07:18:24.558Z
TVSHJFJ5ZG6DGYMF,itm7385431d8aa76,LSTTVSHJFJ5ZG6DGYMFDDRQFV,"Foxsky 109 cm (43 inch) QLED Full HD Smart Android TV 2026 Edition with 2.1 CH Audio System Tuned by 30W Sun Voice India's Largest Speaker Manufacturer, Native 60Hz Refresh Rate",Foxsky,Television,13999,₹13999,29990,₹29990,53,15991,53% off,4.1,9576.0,2117.0,"{'1': 1251, '2': 306, '3': 533, '4': 1350, '5': 6136}","{'subtitle': '43FS QLED', 'brand': 'Foxsky', 'category': 'Television', 'analytics_category': 'Television', 'analytics_sub_category': 'Television', 'Model ID': '43FS QLED', 'Launch Year': '2026', 'Total Sound Output': '30 W'}","['Full HD | QLED', 'Model ID: 43FS QLED', 'Launch Year: 2026', 'Total Sound Output: 30 W']",1 Year Comprehensive Warranty On Product,IN_STOCK,True,POSITIVE,True,False,INR,Television,Television,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/television/b/z/y/-original-imahjqzxeeuvuyz6.jpeg?q=75,https://www.flipkart.com/foxsky-109-cm-43-inch-qled-full-hd-smart-android-tv-2026-2-1-ch-audio-system-tuned-30w-sun-voice-india-s-largest-speaker-manufacturer-native-60hz-refresh-rate/p/itm7385431d8aa76?pid=TVSHJFJ5ZG6DGYMF&lid=LSTTVSHJFJ5ZG6DGYMFDDRQFV&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl,2026-06-16T07:18:24.558Z
TVSHNKCNMZYXHWFE,itm9487cc4e4c9db,LSTTVSHNKCNMZYXHWFEGSCFAV,"XIAOMI FX Series 108 cm (43 inch) Ultra HD (4K) Mini LED Smart Fire TV 2026 Edition with Alexa built-in , Quantum Dot Filter , HDR 10+ , 32 GB Storage , Premium Metallic Finish Design,Dolby Audio , Film-maker Mode , Mi TV",XIAOMI,Television,32999,₹32999,49999,₹49999,34,17000,34% off,3.5,6.0,1.0,"{'1': 2, '2': 0, '3': 0, '4': 1, '5': 3}","{'subtitle': 'L43MC-FSMIN', 'brand': 'XIAOMI', 'category': 'Television', 'analytics_category': 'Television', 'analytics_sub_category': 'Television', 'Model ID': 'L43MC-FSMIN', 'Launch Year': '2026', 'Total Sound Output': '20 W'}","['Ultra HD (4K) | Mini LED', 'Model ID: L43MC-FSMIN', 'Launch Year: 2026', 'Total Sound Output: 20 W']",1 year comprehensive warranty,IN_STOCK,True,POSITIVE,True,False,INR,Television,Television,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/television/e/s/l/-original-imahzehpp26gdg6e.jpeg?q=75,https://www.flipkart.com/xiaomi-fx-series-108-cm-43-inch-ultra-hd-4k-mini-led-smart-fire-tv-2026-alexa-built-in-quantum-dot-filter-hdr-10-32-gb-storage-premium-metallic-finish-design-dolby-audio-film-maker-mode-mi/p/itm9487cc4e4c9db?pid=TVSHNKCNMZYXHWFE&lid=LSTTVSHNKCNMZYXHWFEGSCFAV&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl,2026-06-16T07:18:24.558Z
TVSHAURFZYS6FDPR,itmbcaa35ab0003d,LSTTVSHAURFZYS6FDPRBVSHC9,Thomson Phoenix 2025 Edition 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Atmos 4 Speakers 60 Watts Sound Output Al Smooth Motion Rate HDR 10 Google Assistant,Thomson,Television,30999,₹30999,45999,₹45999,32,15000,32% off,4.3,38773.0,6068.0,"{'1': 3977, '2': 774, '3': 1369, '4': 8002, '5': 24651}","{'subtitle': '55QAI1025', 'brand': 'Thomson', 'category': 'Television', 'analytics_category': 'Television', 'analytics_sub_category': 'Television', 'Model ID': '55QAI1025', 'Launch Year': '2025', 'Total Sound Output': '60 W'}","['Ultra HD (4K) | QLED', 'Model ID: 55QAI1025', 'Launch Year: 2025', 'Total Sound Output: 60 W']",1 Year Warranty on Product,IN_STOCK,True,POSITIVE,False,False,INR,Television,Television,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/television/q/l/m/-original-imahbnjfcgex8hst.jpeg?q=75,https://www.flipkart.com/thomson-phoenix-2025-139-cm-55-inch-qled-ultra-hd-4k-smart-google-tv-dolby-atmos-4-speakers-60-watts-sound-output-al-smooth-motion-rate-hdr-10-assistant/p/itmbcaa35ab0003d?pid=TVSHAURFZYS6FDPR&lid=LSTTVSHAURFZYS6FDPRBVSHC9&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl,2026-06-16T07:18:24.558Z
TVSH2KYNDMV3XUQ2,itm1d8dfccd459d1,LSTTVSH2KYNDMV3XUQ2NDELTL,MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,MarQ by Flipkart,Television,5299,₹5299,15000,₹15000,64,9701,64% off,4.2,12985.0,969.0,"{'1': 1098, '2': 300, '3': 1273, '4': 2907, '5': 7407}","{'subtitle': '24HDNDQEETB', 'brand': 'MarQ by Flipkart', 'category': 'Television', 'analytics_category': 'Television', 'analytics_sub_category': 'Television', 'Model ID': '24HDNDQEETB', 'Launch Year': '2024', 'Total Sound Output': '20 W'}","['HD Ready | LED', 'Model ID: 24HDNDQEETB', 'Launch Year: 2024', 'Total Sound Output: 20 W']",12 Months Warranty,IN_STOCK,True,POSITIVE,True,False,INR,Television,Television,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/television/i/l/y/24hdndqeetb-marq-by-flipkart-original-imah6fcezkqwzae8.jpeg?q=75,https://www.flipkart.com/marq-flipkart-60-cm-24-inch-hd-ready-led-tv/p/itm1d8dfccd459d1?pid=TVSH2KYNDMV3XUQ2&lid=LSTTVSH2KYNDMV3XUQ2NDELTL&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl,2026-06-16T07:18:24.558Z
TVSGEMUBFEF4DD6C,itmd25700250501c,LSTTVSGEMUBFEF4DD6C5DTHCH,Foxsky 60 cm (24 inch) HD Ready LED TV,Foxsky,Television,5899,₹5899,12999,₹12999,54,7100,54% off,4.0,6022.0,707.0,"{'1': 903, '2': 286, '3': 426, '4': 911, '5': 3496}","{'subtitle': '24FSN', 'brand': 'Foxsky', 'category': 'Television', 'analytics_category': 'Television', 'analytics_sub_category': 'Television', 'Model ID': '24FSN', 'Launch Year': '2023', 'Total Sound Output': '30 W'}","['HD Ready | LED', 'Model ID: 24FSN', 'Launch Year: 2023', 'Total Sound Output: 30 W']",1-Year Foxsky Standard Warranty on Product from the date of purchase,IN_STOCK,True,POSITIVE,False,False,INR,Television,Television,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/television/m/c/9/-original-imahhxgg89xptnzc.jpeg?q=75,https://www.flipkart.com/foxsky-60-cm-24-inch-hd-ready-led-tv/p/itmd25700250501c?pid=TVSGEMUBFEF4DD6C&lid=LSTTVSGEMUBFEF4DD6C5DTHCH&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl,2026-06-16T07:18:24.558Z
TVSH8XNUYJVYYANR,itm51d795603cf49,LSTTVSH8XNUYJVYYANRTWG7YK,Infinix Y-Series 102 cm (40 inch) QLED Full HD Smart Linux TV with wall mount,Infinix,Television,13499,₹13499,21999,₹21999,38,8500,38% off,4.0,1790.0,147.0,"{'1': 242, '2': 68, '3': 144, '4': 341, '5': 995}","{'subtitle': '40Y1V/40Y1VE', 'brand': 'Infinix', 'category': 'Television', 'analytics_category': 'Television', 'analytics_sub_category': 'Television', 'Model ID': '40Y1V/40Y1VE', 'Launch Year': '2025', 'Total Sound Output': '16 W'}","['Full HD | QLED', 'Model ID: 40Y1V/40Y1VE', 'Launch Year: 2025', 'Total Sound Output: 16 W']",1 year Domestic Warranty,IN_STOCK,True,POSITIVE,True,False,INR,Television,Television,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/television/i/i/r/-original-imah9m2zuh9bt7hd.jpeg?q=75,https://www.flipkart.com/infinix-y-series-102-cm-40-inch-qled-full-hd-smart-linux-tv-wall-mount/p/itm51d795603cf49?pid=TVSH8XNUYJVYYANR&lid=LSTTVSH8XNUYJVYYANRTWG7YK&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl,2026-06-16T07:18:24.558Z
TVSGEMUBKBNY38HP,itmd337aa1e0a255,LSTTVSGEMUBKBNY38HP4JFRTJ,Foxsky 80 cm (32 inch) HD Ready LED TV,Foxsky,Television,8199,₹8199,19990,₹19990,58,11791,58% off,4.0,6022.0,707.0,"{'1': 903, '2': 286, '3': 426, '4': 911, '5': 3496}","{'subtitle': '32FSN', 'brand': 'Foxsky', 'category': 'Television', 'analytics_category': 'Television', 'analytics_sub_category': 'Television', 'Model ID': '32FSN', 'Launch Year': '2023', 'Total Sound Output': '20 W'}","['HD Ready | LED', 'Model ID: 32FSN', 'Launch Year: 2023', 'Total Sound Output: 20 W']",1-Year Foxsky Standard Warranty on Product from the date of purchase,IN_STOCK,True,POSITIVE,False,False,INR,Television,Television,FLIPKART,https://rukmini1.flixcart.com/image/832/832/xif0q/television/5/n/p/-original-imahhxggzzmzchdu.jpeg?q=75,https://www.flipkart.com/foxsky-80-cm-32-inch-hd-ready-led-tv/p/itmd337aa1e0a255?pid=TVSGEMUBKBNY38HP&lid=LSTTVSGEMUBKBNY38HP4JFRTJ&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl,2026-06-16T07:18:24.558Z
